B T nFsrh nFBsrh dnsrh nF nFB dn
1.500000000E+01 290 1.150173627E+00 1.129714049E+00 2.045957800E-02 1.150171927E+00 1.129712393E+00 2.045953400E-02
1.500000000E+01 295 1.154401996E+00 1.135392239E+00 1.900975700E-02 1.154399559E+00 1.135389880E+00 1.900967900E-02
1.500000000E+01 300 1.156594590E+00 1.140697488E+00 1.589710200E-02 1.156591368E+00 1.140694289E+00 1.589707900E-02
1.500000000E+01 305 1.137625192E+00 1.144884796E+00 -7.259604000E-03 1.137618326E+00 1.144880466E+00 -7.262140000E-03
1.500000000E+01 310 1.114155670E+00 1.147449646E+00 -3.329397600E-02 1.114153172E+00 1.147443612E+00 -3.329044000E-02
1.500000000E+01 315 1.101014124E+00 1.130073955E+00 -2.905983100E-02 1.101007224E+00 1.130049674E+00 -2.904245000E-02
1.500000000E+01 320 1.075180183E+00 1.100544063E+00 -2.536388000E-02 1.075172997E+00 1.100539584E+00 -2.536658700E-02
1.500000000E+01 325 1.013641077E+00 1.074933324E+00 -6.129224700E-02 1.013635684E+00 1.074929989E+00 -6.129430500E-02
1.500000000E+01 330 1.012297600E+00 1.046453231E+00 -3.415563100E-02 1.012293952E+00 1.046428054E+00 -3.413410200E-02
1.500000000E+01 335 1.012047761E+00 1.013800179E+00 -1.752418000E-03 1.012044469E+00 1.013792861E+00 -1.748392000E-03
1.500000000E+01 340 1.014043156E+00 1.013333739E+00 7.094170000E-04 1.014039820E+00 1.013327574E+00 7.122460000E-04
1.524993176E+01 290 1.156802109E+00 1.133124705E+00 2.367740400E-02 1.156800391E+00 1.133122240E+00 2.367815100E-02
1.524993176E+01 295 1.162689949E+00 1.139416233E+00 2.327371600E-02 1.162686482E+00 1.139412965E+00 2.327351700E-02
1.524993176E+01 300 1.167593725E+00 1.145365256E+00 2.222846900E-02 1.167589255E+00 1.145360959E+00 2.222829600E-02
1.524993176E+01 305 1.167111008E+00 1.151063491E+00 1.604751700E-02 1.167073578E+00 1.151057819E+00 1.601575900E-02
1.524993176E+01 310 1.161709475E+00 1.155973409E+00 5.736066000E-03 1.161697218E+00 1.155965880E+00 5.731338000E-03
1.524993176E+01 315 1.143893760E+00 1.159804001E+00 -1.591024100E-02 1.143887619E+00 1.159793919E+00 -1.590630000E-02
1.524993176E+01 320 1.129639293E+00 1.149391900E+00 -1.975260700E-02 1.129626606E+00 1.149361472E+00 -1.973486600E-02
1.524993176E+01 325 1.106721177E+00 1.130826238E+00 -2.410506100E-02 1.106695865E+00 1.130815616E+00 -2.411975100E-02
1.524993176E+01 330 1.079686894E+00 1.113626620E+00 -3.393972600E-02 1.079664580E+00 1.113595854E+00 -3.393127400E-02
1.524993176E+01 335 1.011913062E+00 1.083532359E+00 -7.161929700E-02 1.011907630E+00 1.083478793E+00 -7.157116300E-02
1.524993176E+01 340 1.010830174E+00 1.049883201E+00 -3.905302700E-02 1.010824524E+00 1.049837863E+00 -3.901333900E-02
1.549996187E+01 290 1.162025362E+00 1.138354496E+00 2.367086600E-02 1.162022495E+00 1.138259159E+00 2.376333600E-02
1.549996187E+01 295 1.168682639E+00 1.142926222E+00 2.575641700E-02 1.168678874E+00 1.142921630E+00 2.575724400E-02
1.549996187E+01 300 1.175062247E+00 1.149271533E+00 2.579071400E-02 1.175055834E+00 1.149265512E+00 2.579032200E-02
1.549996187E+01 305 1.179858753E+00 1.155492427E+00 2.436632600E-02 1.179778106E+00 1.155484624E+00 2.429348200E-02
1.549996187E+01 310 1.176688299E+00 1.161378498E+00 1.530980100E-02 1.176678735E+00 1.161368385E+00 1.531035000E-02
1.549996187E+01 315 1.180229860E+00 1.162330634E+00 1.789922600E-02 1.180217703E+00 1.162275220E+00 1.794248300E-02
1.549996187E+01 320 1.171123542E+00 1.162405455E+00 8.718087000E-03 1.171110759E+00 1.162389807E+00 8.720952000E-03
1.549996187E+01 325 1.157690572E+00 1.165882663E+00 -8.192091000E-03 1.157677719E+00 1.165861912E+00 -8.184193000E-03
1.549996187E+01 330 1.137355858E+00 1.155477606E+00 -1.812174800E-02 1.137329055E+00 1.155460644E+00 -1.813158900E-02
1.549996187E+01 335 1.117314659E+00 1.137703711E+00 -2.038905200E-02 1.117304722E+00 1.137586367E+00 -2.028164500E-02
1.549996187E+01 340 1.103010631E+00 1.112638781E+00 -9.628150000E-03 1.103001365E+00 1.112558104E+00 -9.556739000E-03
1.574996808E+01 290 1.176812698E+00 1.143704729E+00 3.310796900E-02 1.176806807E+00 1.143557893E+00 3.324891400E-02
1.574996808E+01 295 1.174207962E+00 1.149187136E+00 2.502082600E-02 1.174200856E+00 1.149180588E+00 2.502026800E-02
1.574996808E+01 300 1.181351772E+00 1.155774889E+00 2.557688300E-02 1.181342577E+00 1.155766354E+00 2.557622300E-02
1.574996808E+01 305 1.188083978E+00 1.162079884E+00 2.600409400E-02 1.188072211E+00 1.162068849E+00 2.600336200E-02
1.574996808E+01 310 1.185197193E+00 1.168359163E+00 1.683803000E-02 1.185183767E+00 1.168344933E+00 1.683883400E-02
1.574996808E+01 315 1.190956328E+00 1.165229040E+00 2.572728800E-02 1.190939031E+00 1.165141569E+00 2.579746200E-02
1.574996808E+01 320 1.195692063E+00 1.170466779E+00 2.522528400E-02 1.195670448E+00 1.170445701E+00 2.522474700E-02
1.574996808E+01 325 1.194877259E+00 1.175487903E+00 1.938935600E-02 1.194852027E+00 1.175460953E+00 1.939107400E-02
1.574996808E+01 330 1.182317919E+00 1.179403203E+00 2.914716000E-03 1.182291532E+00 1.179368642E+00 2.922890000E-03
1.574996808E+01 335 1.167827643E+00 1.178973437E+00 -1.114579400E-02 1.167779220E+00 1.178885252E+00 -1.110603200E-02
1.574996808E+01 340 1.154992629E+00 1.160744427E+00 -5.751798000E-03 1.154972148E+00 1.160657891E+00 -5.685743000E-03
1.600000000E+01 290 1.181478139E+00 1.148019166E+00 3.345897300E-02 1.181470594E+00 1.148012929E+00 3.345766500E-02
1.600000000E+01 295 1.187131073E+00 1.154981309E+00 3.214976400E-02 1.186644204E+00 1.154972509E+00 3.167169500E-02
1.600000000E+01 300 1.186905111E+00 1.161893524E+00 2.501158700E-02 1.186892632E+00 1.161881187E+00 2.501144500E-02
1.600000000E+01 305 1.194397028E+00 1.168472734E+00 2.592429400E-02 1.194380992E+00 1.168457911E+00 2.592308100E-02
1.600000000E+01 310 1.200617510E+00 1.173089147E+00 2.752836300E-02 1.200316447E+00 1.172935466E+00 2.738098100E-02
1.600000000E+01 315 1.199036048E+00 1.171250510E+00 2.778553800E-02 1.199011034E+00 1.171226905E+00 2.778412900E-02
1.600000000E+01 320 1.203730873E+00 1.177250085E+00 2.648078800E-02 1.203579313E+00 1.177220318E+00 2.635899500E-02
1.600000000E+01 325 1.206419795E+00 1.183146577E+00 2.327321800E-02 1.206383278E+00 1.183109258E+00 2.327402000E-02
1.600000000E+01 330 1.207258612E+00 1.188072680E+00 1.918593200E-02 1.207214965E+00 1.188025849E+00 1.918911600E-02
1.600000000E+01 335 1.210567605E+00 1.192491843E+00 1.807576200E-02 1.210514484E+00 1.192433267E+00 1.808121700E-02
1.600000000E+01 340 1.199850666E+00 1.193942331E+00 5.908335000E-03 1.199766730E+00 1.193861402E+00 5.905328000E-03
