X In Out
1.038E-2 6.071E-1 6.071E-1
2.006E-2 8.053E-1 8.053E-1
3.008E-2 1.135E+0 1.135E+0
4.003E-2 1.463E+0 1.463E+0
4.982E-2 1.779E+0 1.779E+0
6.038E-2 2.276E+0 2.276E+0
6.988E-2 2.575E+0 2.575E+0
7.980E-2 2.721E+0 2.721E+0
9.045E-2 3.181E+0 3.181E+0
9.999E-2 3.478E+0 3.478E+0
1.104E-1 3.529E+0 3.529E+0
1.199E-1 3.601E+0 3.601E+0
1.304E-1 3.862E+0 3.862E+0
1.402E-1 4.324E+0 4.324E+0
1.500E-1 4.516E+0 4.441E+0
1.604E-1 4.441E+0 4.441E+0
1.703E-1 4.417E+0 4.417E+0
1.803E-1 4.382E+0 4.417E+0
1.902E-1 4.711E+0 4.711E+0
1.996E-1 4.865E+0 4.711E+0
2.102E-1 4.566E+0 4.620E+0
2.205E-1 4.620E+0 4.620E+0
2.305E-1 4.647E+0 4.620E+0
2.405E-1 4.428E+0 4.428E+0
2.503E-1 4.273E+0 4.273E+0
2.603E-1 4.112E+0 4.112E+0
2.703E-1 3.942E+0 4.024E+0
2.803E-1 4.024E+0 3.997E+0
2.903E-1 3.997E+0 3.997E+0
3.004E-1 3.618E+0 3.618E+0
3.105E-1 3.518E+0 3.518E+0
3.203E-1 3.441E+0 3.441E+0
3.298E-1 3.163E+0 3.163E+0
3.402E-1 2.921E+0 2.921E+0
3.501E-1 2.829E+0 2.829E+0
3.601E-1 2.687E+0 2.687E+0
3.696E-1 2.508E+0 2.508E+0
3.800E-1 2.457E+0 2.457E+0
3.905E-1 2.248E+0 2.248E+0
4.003E-1 2.060E+0 2.060E+0
4.104E-1 1.942E+0 1.942E+0
4.199E-1 1.879E+0 1.879E+0
4.299E-1 1.837E+0 1.837E+0
4.402E-1 1.790E+0 1.790E+0
4.497E-1 1.780E+0 1.790E+0
4.605E-1 1.802E+0 1.802E+0
4.701E-1 1.842E+0 1.842E+0
4.799E-1 1.908E+0 1.908E+0
4.903E-1 1.941E+0 1.941E+0
