fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc FF Pm Vm Im rmsre 
00L1 29724 294.03 39.432 2.230167679E-10 2.638524391E+00 9.275980526E+03 6.404664796E-05 4.055834398E+00 3.452945967E+03 0.000000000E+00 1.956119000E-04 4.695537827E-01 1.778022491E-04 3.921749847E-01 3.274179477E-05 2.725595585E-01 1.201271311E-04 8.573008210E-01 
00L2 30338 295.01 39.301 2.782641189E-10 2.647567573E+00 9.358855268E+03 6.645550770E-05 4.052378539E+00 3.240275166E+03 0.000000000E+00 1.953473000E-04 4.681680115E-01 1.781461477E-04 3.940403856E-01 3.286388537E-05 2.726261276E-01 1.205454403E-04 7.480471348E-01 
00L3 30954 296.02 39.167 2.845013492E-10 2.636136826E+00 9.281853344E+03 7.044396283E-05 4.062350658E+00 3.079793573E+03 0.000000000E+00 1.950746000E-04 4.668425934E-01 1.781789304E-04 3.966844773E-01 3.299681538E-05 2.738498215E-01 1.204927684E-04 5.942717338E-01 
00L4 31580 297.03 39.034 4.208527187E-10 2.682837417E+00 9.552212309E+03 7.665766148E-05 4.177549174E+00 2.935623858E+03 0.000000000E+00 1.948019000E-04 4.659855637E-01 1.784252549E-04 3.983257169E-01 3.311823127E-05 2.746780533E-01 1.205717053E-04 7.091588277E-01 
00L5 32214 298.03 38.903 3.800652611E-10 2.638716833E+00 9.492794854E+03 7.868183354E-05 4.241020041E+00 2.761937903E+03 0.000000000E+00 1.945319000E-04 4.638043137E-01 1.785538755E-04 3.996429856E-01 3.309605726E-05 2.748493418E-01 1.204124874E-04 2.646918607E-01 
00L6 32852 299.03 38.773 3.356721746E-10 2.594460060E+00 9.307566457E+03 7.987330422E-05 4.253056306E+00 2.604743154E+03 0.000000000E+00 1.942619000E-04 4.625465145E-01 1.783358257E-04 4.014535986E-01 3.311535117E-05 2.751536091E-01 1.203532550E-04 3.908495542E-01 
00L7 33478 300.03 38.643 5.392283149E-10 2.663939687E+00 9.393877381E+03 8.630847074E-05 4.169377546E+00 2.487294373E+03 0.000000000E+00 1.939919000E-04 4.616160011E-01 1.786528098E-04 4.034503001E-01 3.327214104E-05 2.743947971E-01 1.212518642E-04 4.781753500E-01 
00L8 34114 301.02 38.516 6.288051407E-10 2.678778236E+00 9.617897596E+03 9.494393841E-05 4.470114796E+00 2.405546553E+03 0.000000000E+00 1.937246000E-04 4.599264950E-01 1.785148726E-04 4.053971017E-01 3.328460998E-05 2.743140669E-01 1.213367521E-04 4.571829134E-01 
00L9 34760 302.02 38.389 7.874114640E-10 2.708560337E+00 9.660379652E+03 1.029741631E-04 4.492636869E+00 2.322791350E+03 0.000000000E+00 1.934546000E-04 4.576972847E-01 1.783941899E-04 4.075357890E-01 3.327551575E-05 2.752417459E-01 1.208959075E-04 7.689755547E-01 
0L10 35400 303.02 38.262 5.438016560E-10 2.626413302E+00 9.676958060E+03 1.089169025E-04 4.743643903E+00 2.263811713E+03 0.000000000E+00 1.931846000E-04 4.567401691E-01 1.782103004E-04 4.097847457E-01 3.335475833E-05 2.746086651E-01 1.214649599E-04 5.982924816E-01 
