Ytrue por T Ypred RelError
2.263500e+02 0.000000e+00 3.000000e+02 2.269393e+02 2.603426e-03
1.501700e+01 1.000000e+01 3.000000e+02 1.513522e+01 7.872103e-03
8.173000e+00 2.000000e+01 3.000000e+02 7.891875e+00 3.439676e-02
5.363000e+00 3.000000e+01 3.000000e+02 4.867573e+00 9.237868e-02
3.077000e+00 4.000000e+01 3.000000e+02 3.180946e+00 3.378170e-02
1.845000e+00 5.000000e+01 3.000000e+02 2.113157e+00 1.453426e-01
1.262000e+00 6.000000e+01 3.000000e+02 1.390408e+00 1.017494e-01
1.009000e+00 7.000000e+01 3.000000e+02 8.835137e-01 1.243670e-01
2.910000e+00 4.000000e+01 4.000000e+02 3.025704e+00 3.976093e-02
2.820000e+00 4.000000e+01 5.000000e+02 2.854875e+00 1.236712e-02
2.743000e+00 4.000000e+01 6.000000e+02 2.688265e+00 1.995427e-02
2.624000e+00 4.000000e+01 7.000000e+02 2.591785e+00 1.227710e-02
2.490000e+00 4.000000e+01 8.000000e+02 2.481449e+00 3.434046e-03
2.481000e+00 4.000000e+01 9.000000e+02 2.329225e+00 6.117506e-02
2.405000e+00 4.000000e+01 1.000000e+03 2.185250e+00 9.137205e-02
7.895000e+00 2.000000e+01 4.000000e+02 7.542936e+00 4.459326e-02
7.256000e+00 2.000000e+01 5.000000e+02 7.165362e+00 1.249140e-02
6.745000e+00 2.000000e+01 6.000000e+02 6.803413e+00 8.660131e-03
6.558000e+00 2.000000e+01 7.000000e+02 6.596596e+00 5.885322e-03
6.120000e+00 2.000000e+01 8.000000e+02 6.362533e+00 3.962958e-02
5.731000e+00 2.000000e+01 9.000000e+02 6.043829e+00 5.458544e-02
5.509000e+00 2.000000e+01 1.000000e+03 5.746811e+00 4.316775e-02
1.617300e+02 0.000000e+00 4.000000e+02 1.612479e+02 2.980860e-03
1.213900e+02 0.000000e+00 5.000000e+02 1.204938e+02 7.382731e-03
9.503000e+01 0.000000e+00 6.000000e+02 9.541897e+01 4.093076e-03
8.385000e+01 0.000000e+00 7.000000e+02 8.467876e+01 9.883877e-03
7.480000e+01 0.000000e+00 8.000000e+02 7.466241e+01 1.839414e-03
6.475000e+01 0.000000e+00 9.000000e+02 6.369326e+01 1.632032e-02
5.464000e+01 0.000000e+00 1.000000e+03 5.548706e+01 1.550251e-02
