fname time Tem kT_1 A Rs Io Rsh dev 
01FR 1fr.dat 286.9 40.41 1.532E+001 5.652E+002 7.293E-009 1.000E+012 1.423E-003 
03FR 3fr.dat 291.8 39.73 1.644E+001 5.269E+002 6.173E-009 1.547E+011 1.271E-003 
05FR 5fr.dat 297.6 38.96 1.668E+001 4.889E+002 6.401E-009 1.734E+010 7.343E-004 
07FR 7fr.dat 301.7 38.43 1.547E+001 4.629E+002 1.706E-008 3.130E+009 6.331E-004 
09FR 9fr.dat 307.2 37.74 1.569E+001 4.292E+002 1.895E-008 4.012E+010 1.397E-003 
11FR 11fr.dat 312.5 37.1 1.529E+001 3.898E+002 3.332E-008 1.966E+010 1.254E-003 
13FR 13fr.dat 319.6 36.28 1.500E+001 3.457E+002 6.145E-008 1.720E+009 1.687E-003 
15FR 15fr.dat 323.3 35.86 1.565E+001 3.182E+002 5.752E-008 6.923E+008 2.104E-003 
17FR 17fr.dat 329.9 35.14 1.310E+001 2.606E+002 3.113E-007 3.180E+008 2.756E-003 
19FR 19fr.dat 335.2 34.59 2.762E+001 2.643E+002 3.706E-010 1.000E+012 6.764E-003 
21FR 21fr.dat 339.4 34.16 1.389E+001 2.175E+002 3.333E-007 3.697E+011 5.503E-003 
