T nFsrh nFBsrh dnsrh nF nFB dn
290 1.217708210E+00 1.152852744E+00 6.485546600E-02 1.217679224E+00 1.152245317E+00 6.543390700E-02
295 1.214007933E+00 1.159828118E+00 5.417981500E-02 1.210391845E+00 1.159947982E+00 5.044386300E-02
300 1.212508333E+00 1.167741446E+00 4.476688700E-02 1.212466957E+00 1.167606957E+00 4.486000000E-02
305 1.221542528E+00 1.175703462E+00 4.583906600E-02 1.220133860E+00 1.175584584E+00 4.454927600E-02
310 1.220017826E+00 1.1731443E+00 4.687352600E-02 1.219951682E+00 1.1726137E+00 4.733798200E-02
315 1.228996609E+00 1.180632760E+00 4.836384900E-02 1.228903179E+00 1.180560088E+00 4.834309100E-02
320 1.233398768E+00 1.187896273E+00 4.550249500E-02 1.231385369E+00 1.187781481E+00 4.360388800E-02
325 1.233087823E+00 1.194066826E+00 3.902099700E-02 1.231830393E+00 1.193819033E+00 3.801136000E-02
330 1.239316447E+00 1.196834252E+00 4.248219500E-02 1.238668226E+00 1.196716628E+00 4.195159800E-02
335 1.242842335E+00 1.198146666E+00 4.469566900E-02 1.242132137E+00 1.198005095E+00 4.412704200E-02
340 1.250580160E+00 1.207300533E+00 4.327962700E-02 1.249805114E+00 1.207153320E+00 4.265179400E-02
