T d154 d184 d214 d244
d 150 180 210 240
290 5.458090000E-03 7.498637000E-03 8.760624000E-03 9.395554000E-03
295 5.485500000E-04 2.821720000E-03 4.297693000E-03 4.140201000E-03
300 -1.100129200E-02 -8.018045000E-03 -5.991257000E-03 -5.732173000E-03
305 -3.484447500E-02 -3.034057300E-02 -2.700120000E-02 -2.582135800E-02
310 -7.959053800E-02 -7.207414800E-02 -6.620269300E-02 -6.320004500E-02
315 -1.517535000E-01 -1.394260210E-01 -1.294513920E-01 -1.235098870E-01
320 -1.238987550E-01 -1.221912180E-01 -1.212729220E-01 -1.206785280E-01
325 -4.776401500E-02 -4.542080700E-02 -4.515073400E-02 -4.558779300E-02
330 8.219672000E-03 6.982937000E-03 6.117242000E-03 5.598353000E-03
335 1.504434800E-02 1.264205500E-02 1.085663400E-02 9.666745000E-03
340 2.407898900E-02 2.026624600E-02 1.724216800E-02 1.504468800E-02
