N_Fe T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.000000000E+01 1.197872459E+00 1.199645926E+00 1.201658912E+00 1.203473236E+00 1.204688952E+00 1.204622177E+00 1.204699899E+00 1.202701784E+00 1.197818164E+00 1.188856319E+00 1.170692345E+00
1.016672606E+01 1.199397510E+00 1.201183887E+00 1.203304970E+00 1.205300044E+00 1.206794265E+00 1.206875940E+00 1.207485895E+00 1.205919220E+00 1.201443896E+00 1.192802905E+00 1.174636949E+00
1.033324570E+01 1.200585867E+00 1.202371706E+00 1.204546617E+00 1.206623429E+00 1.208283994E+00 1.208676969E+00 1.209235314E+00 1.208260305E+00 1.204097387E+00 1.195730126E+00 1.177653864E+00
1.049996187E+01 1.201533528E+00 1.203296394E+00 1.205506613E+00 1.207668108E+00 1.209512121E+00 1.210231236E+00 1.210670473E+00 1.210000929E+00 1.206088059E+00 1.197972803E+00 1.180083576E+00
1.066670514E+01 1.202334103E+00 1.204068095E+00 1.206293741E+00 1.208509363E+00 1.210495696E+00 1.211406057E+00 1.212002488E+00 1.211359755E+00 1.207664494E+00 1.199807015E+00 1.182220631E+00
1.083333839E+01 1.203077975E+00 1.204777158E+00 1.207003521E+00 1.209253565E+00 1.211332116E+00 1.212380709E+00 1.213080907E+00 1.212512602E+00 1.209028641E+00 1.201462445E+00 1.184323135E+00
1.100000000E+01 1.203854122E+00 1.205506923E+00 1.207717834E+00 1.209984947E+00 1.212123108E+00 1.213265831E+00 1.214078702E+00 1.213568965E+00 1.210349619E+00 1.203135330E+00 1.186621677E+00
1.116672606E+01 1.204753331E+00 1.206343183E+00 1.208519918E+00 1.210787511E+00 1.212961398E+00 1.214184931E+00 1.215105342E+00 1.214739552E+00 1.211773367E+00 1.204995023E+00 1.189318146E+00
1.133324570E+01 1.205870720E+00 1.207370255E+00 1.209490736E+00 1.211743397E+00 1.213947529E+00 1.215230554E+00 1.216272838E+00 1.216084039E+00 1.213425057E+00 1.207181138E+00 1.192569026E+00
1.149996187E+01 1.207305152E+00 1.208677680E+00 1.210712889E+00 1.212931501E+00 1.215136035E+00 1.216528689E+00 1.217683122E+00 1.217697348E+00 1.215402995E+00 1.209789553E+00 1.196451894E+00
1.166670514E+01 1.209153796E+00 1.210350681E+00 1.212262932E+00 1.214422332E+00 1.216632303E+00 1.218127568E+00 1.219415178E+00 1.219650170E+00 1.217765471E+00 1.212852320E+00 1.200928338E+00
1.183333839E+01 1.211505234E+00 1.212458799E+00 1.214203838E+00 1.216269822E+00 1.218480760E+00 1.220050730E+00 1.221494889E+00 1.221967656E+00 1.220516683E+00 1.216324580E+00 1.205832841E+00
1.200000000E+01 1.214411344E+00 1.215055690E+00 1.216575995E+00 1.218518870E+00 1.220671231E+00 1.222329617E+00 1.223912361E+00 1.224624635E+00 1.223601792E+00 1.220092806E+00 1.210913949E+00
1.216672606E+01 1.217882087E+00 1.218156301E+00 1.219391626E+00 1.221160473E+00 1.223227386E+00 1.224918704E+00 1.226617020E+00 1.227549362E+00 1.226917659E+00 1.224005490E+00 1.215916984E+00
1.233324570E+01 1.221895377E+00 1.221753201E+00 1.222650112E+00 1.224157143E+00 1.226098926E+00 1.227765388E+00 1.229534671E+00 1.230643946E+00 1.230338929E+00 1.227910551E+00 1.220653054E+00
1.249996187E+01 1.226391017E+00 1.225785021E+00 1.226290961E+00 1.227510948E+00 1.229247176E+00 1.230816927E+00 1.232593493E+00 1.233814692E+00 1.233750653E+00 1.231684091E+00 1.225015786E+00
1.266670514E+01 1.231295032E+00 1.230219147E+00 1.230306265E+00 1.231173399E+00 1.232641940E+00 1.234038083E+00 1.235746455E+00 1.236998948E+00 1.237076193E+00 1.235248327E+00 1.228966425E+00
1.283333839E+01 1.236544201E+00 1.234977039E+00 1.234648180E+00 1.235124008E+00 1.236269809E+00 1.237419024E+00 1.238980629E+00 1.240176984E+00 1.240290108E+00 1.238579577E+00 1.232510143E+00
1.300000000E+01 1.242082108E+00 1.240053337E+00 1.239385446E+00 1.239354886E+00 1.240133789E+00 1.240972084E+00 1.242312603E+00 1.243366741E+00 1.243412451E+00 1.241704671E+00 1.235693901E+00
