T(K) Nd(cm-3) Mu(cm2/Vs)
200 1.00000E+16 8.97454E+2
200 1.33352E+16 8.53666E+2
200 1.77828E+16 8.06300E+2
200 2.37137E+16 7.56095E+2
200 3.16228E+16 7.03965E+2
200 4.21697E+16 6.51008E+2
200 5.62341E+16 5.98392E+2
200 7.49894E+16 5.47259E+2
200 1.00000E+17 4.98358E+2
200 1.33352E+17 4.52655E+2
200 1.77828E+17 4.10693E+2
200 2.37137E+17 3.72382E+2
200 3.16228E+17 3.37935E+2
200 4.21697E+17 3.07206E+2
200 5.62341E+17 2.79873E+2
200 7.49894E+17 2.55714E+2
200 1.00000E+18 2.34374E+2
200 1.33352E+18 2.15615E+2
200 1.77828E+18 1.98987E+2
200 2.37137E+18 1.84191E+2
200 3.16228E+18 1.71175E+2
200 4.21697E+18 1.59690E+2
200 5.62341E+18 1.49428E+2
200 7.49894E+18 1.40242E+2
200 1.00000E+19 1.32113E+2
212 1.00000E+16 8.16189E+2
212 1.33352E+16 7.80721E+2
212 1.77828E+16 7.41786E+2
212 2.37137E+16 6.99848E+2
212 3.16228E+16 6.55556E+2
212 4.21697E+16 6.09760E+2
212 5.62341E+16 5.63438E+2
212 7.49894E+16 5.17618E+2
212 1.00000E+17 4.73196E+2
212 1.33352E+17 4.31077E+2
212 1.77828E+17 3.91674E+2
212 2.37137E+17 3.55600E+2
212 3.16228E+17 3.22761E+2
212 4.21697E+17 2.93435E+2
212 5.62341E+17 2.67275E+2
212 7.49894E+17 2.44023E+2
212 1.00000E+18 2.23512E+2
212 1.33352E+18 2.05430E+2
212 1.77828E+18 1.89467E+2
212 2.37137E+18 1.75424E+2
212 3.16228E+18 1.62950E+2
212 4.21697E+18 1.51902E+2
212 5.62341E+18 1.42159E+2
212 7.49894E+18 1.33461E+2
212 1.00000E+19 1.25718E+2
224 1.00000E+16 7.43248E+2
224 1.33352E+16 7.14479E+2
224 1.77828E+16 6.82496E+2
224 2.37137E+16 6.47554E+2
224 3.16228E+16 6.10084E+2
224 4.21697E+16 5.70711E+2
224 5.62341E+16 5.30218E+2
224 7.49894E+16 4.89485E+2
224 1.00000E+17 4.49416E+2
224 1.33352E+17 4.10708E+2
224 1.77828E+17 3.74259E+2
224 2.37137E+17 3.40337E+2
224 3.16228E+17 3.09195E+2
224 4.21697E+17 2.81166E+2
224 5.62341E+17 2.56101E+2
224 7.49894E+17 2.33799E+2
224 1.00000E+18 2.14021E+2
224 1.33352E+18 1.96608E+2
224 1.77828E+18 1.81204E+2
224 2.37137E+18 1.67691E+2
224 3.16228E+18 1.55670E+2
224 4.21697E+18 1.45136E+2
224 5.62341E+18 1.35814E+2
224 7.49894E+18 1.27466E+2
224 1.00000E+19 1.20122E+2
236 1.00000E+16 6.77920E+2
236 1.33352E+16 6.54532E+2
236 1.77828E+16 6.28236E+2
236 2.37137E+16 5.99140E+2
236 3.16228E+16 5.67520E+2
236 4.21697E+16 5.33806E+2
236 5.62341E+16 4.98595E+2
236 7.49894E+16 4.62612E+2
236 1.00000E+17 4.26652E+2
236 1.33352E+17 3.91454E+2
236 1.77828E+17 3.57775E+2
236 2.37137E+17 3.26051E+2
236 3.16228E+17 2.96818E+2
236 4.21697E+17 2.70125E+2
236 5.62341E+17 2.46000E+2
236 7.49894E+17 2.24583E+2
236 1.00000E+18 2.05516E+2
236 1.33352E+18 1.88696E+2
236 1.77828E+18 1.73848E+2
236 2.37137E+18 1.60788E+2
236 3.16228E+18 1.49281E+2
236 4.21697E+18 1.39109E+2
236 5.62341E+18 1.30140E+2
236 7.49894E+18 1.22202E+2
236 1.00000E+19 1.15148E+2
248 1.00000E+16 6.19480E+2
248 1.33352E+16 6.00396E+2
248 1.77828E+16 5.78736E+2
248 2.37137E+16 5.54501E+2
248 3.16228E+16 5.27851E+2
248 4.21697E+16 4.99057E+2
248 5.62341E+16 4.68561E+2
248 7.49894E+16 4.36936E+2
248 1.00000E+17 4.04854E+2
248 1.33352E+17 3.73031E+2
248 1.77828E+17 3.42064E+2
248 2.37137E+17 3.12624E+2
248 3.16228E+17 2.85126E+2
248 4.21697E+17 2.59792E+2
248 5.62341E+17 2.36829E+2
248 7.49894E+17 2.16250E+2
248 1.00000E+18 1.97865E+2
248 1.33352E+18 1.81624E+2
248 1.77828E+18 1.67272E+2
248 2.37137E+18 1.54667E+2
248 3.16228E+18 1.43539E+2
248 4.21697E+18 1.33735E+2
248 5.62341E+18 1.25067E+2
248 7.49894E+18 1.17422E+2
248 1.00000E+19 1.10653E+2
260 1.00000E+16 5.67215E+2
260 1.33352E+16 5.51581E+2
260 1.77828E+16 5.33686E+2
260 2.37137E+16 5.13480E+2
260 3.16228E+16 4.91012E+2
260 4.21697E+16 4.66448E+2
260 5.62341E+16 4.40100E+2
260 7.49894E+16 4.12405E+2
260 1.00000E+17 3.83911E+2
260 1.33352E+17 3.55243E+2
260 1.77828E+17 3.27004E+2
260 2.37137E+17 2.99772E+2
260 3.16228E+17 2.74034E+2
260 4.21697E+17 2.50147E+2
260 5.62341E+17 2.28265E+2
260 7.49894E+17 2.08528E+2
260 1.00000E+18 1.90913E+2
260 1.33352E+18 1.75225E+2
260 1.77828E+18 1.61312E+2
260 2.37137E+18 1.49115E+2
260 3.16228E+18 1.38326E+2
260 4.21697E+18 1.28841E+2
260 5.62341E+18 1.20483E+2
260 7.49894E+18 1.13091E+2
260 1.00000E+19 1.06567E+2
272 1.00000E+16 5.20455E+2
272 1.33352E+16 5.07591E+2
272 1.77828E+16 4.92762E+2
272 2.37137E+16 4.75873E+2
272 3.16228E+16 4.56914E+2
272 4.21697E+16 4.35971E+2
272 5.62341E+16 4.13235E+2
272 7.49894E+16 3.89050E+2
272 1.00000E+17 3.63852E+2
272 1.33352E+17 3.38123E+2
272 1.77828E+17 3.12485E+2
272 2.37137E+17 2.87423E+2
272 3.16228E+17 2.63449E+2
272 4.21697E+17 2.41008E+2
272 5.62341E+17 2.20231E+2
272 7.49894E+17 2.01351E+2
272 1.00000E+18 1.84409E+2
272 1.33352E+18 1.69277E+2
272 1.77828E+18 1.55826E+2
272 2.37137E+18 1.43986E+2
272 3.16228E+18 1.33547E+2
272 4.21697E+18 1.24387E+2
272 5.62341E+18 1.16262E+2
272 7.49894E+18 1.09133E+2
272 1.00000E+19 1.02823E+2
284 1.00000E+16 4.78579E+2
284 1.33352E+16 4.67946E+2
284 1.77828E+16 4.55610E+2
284 2.37137E+16 4.41459E+2
284 3.16228E+16 4.25435E+2
284 4.21697E+16 4.07564E+2
284 5.62341E+16 3.87970E+2
284 7.49894E+16 3.66885E+2
284 1.00000E+17 3.44629E+2
284 1.33352E+17 3.21649E+2
284 1.77828E+17 2.98438E+2
284 2.37137E+17 2.75468E+2
284 3.16228E+17 2.53263E+2
284 4.21697E+17 2.32217E+2
284 5.62341E+17 2.12599E+2
284 7.49894E+17 1.94593E+2
284 1.00000E+18 1.78330E+2
284 1.33352E+18 1.63748E+2
284 1.77828E+18 1.50759E+2
284 2.37137E+18 1.39282E+2
284 3.16228E+18 1.29164E+2
284 4.21697E+18 1.20262E+2
284 5.62341E+18 1.12418E+2
284 7.49894E+18 1.05486E+2
284 1.00000E+19 9.93992E+1
296 1.00000E+16 4.41026E+2
296 1.33352E+16 4.32196E+2
296 1.77828E+16 4.21893E+2
296 2.37137E+16 4.09997E+2
296 3.16228E+16 3.96429E+2
296 4.21697E+16 3.81171E+2
296 5.62341E+16 3.64276E+2
296 7.49894E+16 3.45902E+2
296 1.00000E+17 3.26307E+2
296 1.33352E+17 3.05820E+2
296 1.77828E+17 2.84878E+2
296 2.37137E+17 2.63924E+2
296 3.16228E+17 2.43412E+2
296 4.21697E+17 2.23723E+2
296 5.62341E+17 2.05248E+2
296 7.49894E+17 1.88122E+2
296 1.00000E+18 1.72543E+2
296 1.33352E+18 1.58505E+2
296 1.77828E+18 1.46017E+2
296 2.37137E+18 1.34877E+2
296 3.16228E+18 1.25076E+2
296 4.21697E+18 1.16445E+2
296 5.62341E+18 1.08825E+2
296 7.49894E+18 1.02133E+2
296 1.00000E+19 9.62151E+1
308 1.00000E+16 4.07296E+2
308 1.33352E+16 3.99928E+2
308 1.77828E+16 3.91290E+2
308 2.37137E+16 3.81258E+2
308 3.16228E+16 3.69739E+2
308 4.21697E+16 3.56685E+2
308 5.62341E+16 3.42113E+2
308 7.49894E+16 3.26116E+2
308 1.00000E+17 3.08871E+2
308 1.33352E+17 2.90642E+2
308 1.77828E+17 2.71803E+2
308 2.37137E+17 2.52728E+2
308 3.16228E+17 2.33841E+2
308 4.21697E+17 2.15539E+2
308 5.62341E+17 1.98168E+2
308 7.49894E+17 1.81962E+2
308 1.00000E+18 1.67080E+2
308 1.33352E+18 1.53595E+2
308 1.77828E+18 1.41544E+2
308 2.37137E+18 1.30776E+2
308 3.16228E+18 1.21277E+2
308 4.21697E+18 1.12888E+2
308 5.62341E+18 1.05501E+2
308 7.49894E+18 9.89749E+1
308 1.00000E+19 9.32382E+1
320 1.00000E+16 3.76943E+2
320 1.33352E+16 3.70767E+2
320 1.77828E+16 3.63493E+2
320 2.37137E+16 3.55004E+2
320 3.16228E+16 3.45201E+2
320 4.21697E+16 3.34013E+2
320 5.62341E+16 3.21427E+2
