fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
UDT0 9:32 302.3 38.35 1.000E+000 2.201E+000 2.922E-006 6.058E+004 2.324E+000 9.828E-008 1.466E-003 
UDT1 9:35 302.4 38.34 1.000E+000 2.202E+000 2.949E-006 6.035E+004 2.327E+000 9.508E-008 1.387E-003 
UDT2 9:40 302.5 38.33 1.000E+000 2.148E+000 3.253E-006 6.013E+004 2.326E+000 9.552E-008 1.177E-003 
UDT3 9:43 302.5 38.33 1.000E+000 2.233E+000 2.894E-006 6.013E+004 2.330E+000 9.472E-008 1.054E-003 
UDT4 9:46 302.6 38.32 1.000E+000 2.239E+000 2.870E-006 5.990E+004 2.333E+000 9.510E-008 1.063E-003 
UDT5 9:50 302.7 38.3 1.000E+000 2.210E+000 2.936E-006 5.967E+004 2.331E+000 9.606E-008 1.436E-003 
UDT6 9:53 302.7 38.3 1.000E+000 2.182E+000 3.044E-006 5.967E+004 2.333E+000 9.472E-008 9.775E-004 
UDT7 9:56 302.7 38.3 1.000E+000 2.198E+000 2.921E-006 5.967E+004 2.333E+000 9.416E-008 8.682E-004 
UDT8 10:1 302.9 38.28 1.000E+000 2.220E+000 2.907E-006 5.922E+004 2.334E+000 9.654E-008 8.255E-004 
UDT9 10:4 302.9 38.28 1.000E+000 2.190E+000 3.058E-006 5.922E+004 2.323E+000 9.653E-008 9.570E-004 
