T file kT1 Voc Jsc FF eta Vmpp Jmpp Wph TDD
300 001_300 38.647 5.763080E-1 3.269354E+1 8.192780E+1 1.543650E+1 4.972170E-1 3.104577E+1 1.000000E+2 1.000000E+10
300 002_300 38.647 5.762930E-1 3.269273E+1 8.192700E+1 1.543550E+1 4.971970E-1 3.104508E+1 1.000000E+2 1.198000E+10
300 003_300 38.647 5.762750E-1 3.269177E+1 8.192590E+1 1.543440E+1 4.971780E-1 3.104402E+1 1.000000E+2 1.435000E+10
300 004_300 38.647 5.762540E-1 3.269061E+1 8.192470E+1 1.543300E+1 4.971390E-1 3.104373E+1 1.000000E+2 1.719000E+10
300 005_300 38.647 5.762280E-1 3.268923E+1 8.192320E+1 1.543140E+1 4.971190E-1 3.104169E+1 1.000000E+2 2.059000E+10
300 006_300 38.647 5.761970E-1 3.268757E+1 8.192140E+1 1.542950E+1 4.970800E-1 3.104022E+1 1.000000E+2 2.467000E+10
300 007_300 38.647 5.761600E-1 3.268559E+1 8.191930E+1 1.542720E+1 4.970410E-1 3.103799E+1 1.000000E+2 2.955000E+10
300 008_300 38.647 5.761160E-1 3.268321E+1 8.191670E+1 1.542440E+1 4.969820E-1 3.103606E+1 1.000000E+2 3.540000E+10
300 009_300 38.647 5.760640E-1 3.268037E+1 8.191370E+1 1.542110E+1 4.969240E-1 3.103304E+1 1.000000E+2 4.241000E+10
300 010_300 38.647 5.760010E-1 3.267697E+1 8.191000E+1 1.541710E+1 4.968650E-1 3.102871E+1 1.000000E+2 5.080000E+10
300 011_300 38.647 5.759270E-1 3.267290E+1 8.190570E+1 1.541240E+1 4.967680E-1 3.102528E+1 1.000000E+2 6.086000E+10
300 012_300 38.647 5.758370E-1 3.266804E+1 8.190050E+1 1.540670E+1 4.966700E-1 3.102000E+1 1.000000E+2 7.290000E+10
300 013_300 38.647 5.757310E-1 3.266223E+1 8.189430E+1 1.540000E+1 4.965530E-1 3.101374E+1 1.000000E+2 8.733000E+10
300 014_300 38.647 5.756050E-1 3.265528E+1 8.188700E+1 1.539190E+1 4.964160E-1 3.100611E+1 1.000000E+2 1.046000E+11
300 015_300 38.647 5.754560E-1 3.264698E+1 8.187820E+1 1.538240E+1 4.962400E-1 3.099783E+1 1.000000E+2 1.253000E+11
300 016_300 38.647 5.752780E-1 3.263709E+1 8.186780E+1 1.537100E+1 4.960450E-1 3.098714E+1 1.000000E+2 1.501000E+11
300 017_300 38.647 5.750680E-1 3.262528E+1 8.185550E+1 1.535750E+1 4.958110E-1 3.097458E+1 1.000000E+2 1.798000E+11
300 018_300 38.647 5.748200E-1 3.261120E+1 8.184090E+1 1.534150E+1 4.955180E-1 3.096062E+1 1.000000E+2 2.154000E+11
300 019_300 38.647 5.745280E-1 3.259442E+1 8.182360E+1 1.532260E+1 4.951860E-1 3.094318E+1 1.000000E+2 2.581000E+11
300 020_300 38.647 5.741840E-1 3.257447E+1 8.180350E+1 1.530030E+1 4.947950E-1 3.092256E+1 1.000000E+2 3.092000E+11
300 021_300 38.647 5.737830E-1 3.255076E+1 8.177970E+1 1.527400E+1 4.943460E-1 3.089750E+1 1.000000E+2 3.704000E+11
300 022_300 38.647 5.733120E-1 3.252265E+1 8.175210E+1 1.524320E+1 4.938180E-1 3.086803E+1 1.000000E+2 4.437000E+11
300 023_300 38.647 5.727680E-1 3.248938E+1 8.171980E+1 1.520710E+1 4.931930E-1 3.083401E+1 1.000000E+2 5.315000E+11
300 024_300 38.647 5.721390E-1 3.245007E+1 8.168230E+1 1.516510E+1 4.924900E-1 3.079270E+1 1.000000E+2 6.367000E+11
300 025_300 38.647 5.714100E-1 3.240377E+1 8.164010E+1 1.511640E+1 4.916700E-1 3.074495E+1 1.000000E+2 7.627000E+11
300 026_300 38.647 5.705810E-1 3.234940E+1 8.159160E+1 1.506010E+1 4.907320E-1 3.068908E+1 1.000000E+2 9.137000E+11
300 027_300 38.647 5.696240E-1 3.228576E+1 8.153880E+1 1.499560E+1 4.896780E-1 3.062337E+1 1.000000E+2 1.094000E+12
300 028_300 38.647 5.685240E-1 3.221159E+1 8.148260E+1 1.492200E+1 4.884860E-1 3.054734E+1 1.000000E+2 1.311000E+12
300 029_300 38.647 5.673030E-1 3.212555E+1 8.141890E+1 1.483850E+1 4.871580E-1 3.045936E+1 1.000000E+2 1.571000E+12
300 030_300 38.647 5.659560E-1 3.202627E+1 8.134780E+1 1.474470E+1 4.856930E-1 3.035796E+1 1.000000E+2 1.882000E+12
300 031_300 38.647 5.644830E-1 3.191241E+1 8.126960E+1 1.463990E+1 4.840920E-1 3.024203E+1 1.000000E+2 2.254000E+12
300 032_300 38.647 5.628820E-1 3.178271E+1 8.118440E+1 1.452380E+1 4.823540E-1 3.011032E+1 1.000000E+2 2.700000E+12
300 033_300 38.647 5.611550E-1 3.163605E+1 8.109320E+1 1.439630E+1 4.804790E-1 2.996233E+1 1.000000E+2 3.234000E+12
300 034_300 38.647 5.592850E-1 3.147156E+1 8.100010E+1 1.425730E+1 4.785060E-1 2.979544E+1 1.000000E+2 3.875000E+12
300 035_300 38.647 5.572810E-1 3.128869E+1 8.090590E+1 1.410720E+1 4.763960E-1 2.961234E+1 1.000000E+2 4.642000E+12
300 036_300 38.647 5.551790E-1 3.108721E+1 8.080810E+1 1.394660E+1 4.742090E-1 2.941032E+1 1.000000E+2 5.560000E+12
