X Y Yfit Y1 Y2
2.595E+0 2.404E-5 2.505E-5 2.505E-5 0.000E+0
2.789E+0 3.353E-5 3.443E-5 3.443E-5 0.000E+0
3.003E+0 4.859E-5 4.771E-5 4.771E-5 0.000E+0
3.205E+0 6.599E-5 6.358E-5 6.358E-5 0.000E+0
3.410E+0 8.701E-5 8.358E-5 8.358E-5 0.000E+0
3.553E+0 1.023E-4 1.002E-4 1.002E-4 0.000E+0
3.782E+0 1.330E-4 1.320E-4 1.320E-4 0.000E+0
3.978E+0 1.656E-4 1.649E-4 1.649E-4 0.000E+0
4.176E+0 2.032E-4 2.044E-4 2.044E-4 0.000E+0
4.375E+0 2.485E-4 2.509E-4 2.509E-4 0.000E+0
4.569E+0 2.996E-4 3.039E-4 3.039E-4 0.000E+0
4.818E+0 3.762E-4 3.841E-4 3.841E-4 0.000E+0
