N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 1.250516736E+00 1.247067847E+00 1.244031095E+00 1.240316060E+00
1.016672606E+01 1.250559413E+00 1.247125350E+00 1.244105232E+00 1.240408662E+00
1.033324570E+01 1.250621781E+00 1.247209334E+00 1.244213395E+00 1.240543574E+00
1.049996187E+01 1.250712920E+00 1.247331885E+00 1.244370941E+00 1.240739630E+00
1.066670514E+01 1.250845935E+00 1.247510351E+00 1.244599730E+00 1.241023398E+00
1.083333839E+01 1.251039646E+00 1.247769389E+00 1.244930474E+00 1.241431671E+00
1.100000000E+01 1.251320789E+00 1.248143556E+00 1.245405480E+00 1.242014134E+00
1.116672606E+01 1.251726812E+00 1.248680264E+00 1.246081412E+00 1.242835465E+00
1.133324570E+01 1.252309025E+00 1.249442635E+00 1.247031131E+00 1.243975594E+00
1.149996187E+01 1.253135593E+00 1.250511075E+00 1.248343028E+00 1.245526229E+00
1.166670514E+01 1.254293005E+00 1.251981692E+00 1.250115597E+00 1.247581600E+00
1.183333839E+01 1.255883893E+00 1.253958956E+00 1.252445179E+00 1.250222751E+00
1.200000000E+01 1.258018247E+00 1.256540496E+00 1.255406829E+00 1.253497749E+00
1.216672606E+01 1.260795872E+00 1.259794815E+00 1.259032591E+00 1.257404980E+00
1.233324570E+01 1.264281324E+00 1.263738165E+00 1.263296845E+00 1.261889562E+00
1.249996187E+01 1.268479168E+00 1.268322331E+00 1.268119358E+00 1.266858632E+00
1.266670514E+01 1.273323080E+00 1.273444069E+00 1.273388494E+00 1.272209097E+00
1.283333839E+01 1.278689631E+00 1.278974751E+00 1.278992254E+00 1.277850953E+00
1.300000000E+01 1.284432887E+00 1.284793390E+00 1.284838432E+00 1.283713974E+00
