N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 2.451435600E-02 2.423358700E-02 2.416336200E-02 2.420621600E-02
1.016672606E+01 1.761154000E-02 1.729307300E-02 1.716857600E-02 1.714844600E-02
1.033324570E+01 1.254812100E-02 1.223290400E-02 1.208762000E-02 1.203334900E-02
1.049996187E+01 8.870834000E-03 8.586921000E-03 8.444724000E-03 8.377698000E-03
1.066670514E+01 6.225654000E-03 5.986939000E-03 5.861063000E-03 5.794439000E-03
1.083333839E+01 4.341309000E-03 4.150421000E-03 4.045844000E-03 3.986156000E-03
1.100000000E+01 3.011658000E-03 2.864354000E-03 2.780993000E-03 2.730618000E-03
1.116672606E+01 2.081545000E-03 1.970628000E-03 1.905992000E-03 1.865079000E-03
1.133324570E+01 1.435813000E-03 1.353745000E-03 1.304644000E-03 1.272484000E-03
1.149996187E+01 9.904810000E-04 9.306010000E-04 8.940690000E-04 8.695720000E-04
1.166670514E+01 6.851170000E-04 6.420840000E-04 6.155660000E-04 5.976450000E-04
1.183333839E+01 4.769330000E-04 4.466060000E-04 4.279880000E-04 4.154960000E-04
1.200000000E+01 3.357870000E-04 3.149880000E-04 3.024930000E-04 2.942750000E-04
1.216672606E+01 2.405880000E-04 2.268370000E-04 2.189040000E-04 2.138930000E-04
1.233324570E+01 1.766200000E-04 1.679370000E-04 1.632500000E-04 1.604510000E-04
1.249996187E+01 1.335980000E-04 1.284050000E-04 1.258730000E-04 1.244770000E-04
1.266670514E+01 1.044220000E-04 1.014790000E-04 1.002590000E-04 9.966900000E-05
1.283333839E+01 8.418600000E-05 8.261200000E-05 8.211700000E-05 8.195300000E-05
1.300000000E+01 6.965300000E-05 6.884400000E-05 6.872500000E-05 6.873700000E-05
