N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.024842205E+00 1.024698104E+00 1.024870089E+00 1.025145353E+00
1.600000000E+01 1.281615313E+00 1.281433365E+00 1.279528363E+00 1.280534675E+00
1.700000000E+01 1.364120796E+00 1.364007068E+00 1.363465817E+00 1.363796001E+00
1.549996187E+01 1.197803386E+00 1.195780315E+00 1.194925199E+00 1.193243948E+00
1.649996187E+01 1.320043804E+00 1.320911471E+00 1.320854839E+00 1.320866971E+00
1.674996808E+01 1.341620335E+00 1.340741416E+00 1.341218819E+00 1.341036819E+00
1.624993176E+01 1.301653593E+00 1.301781925E+00 1.301634415E+00 1.301249318E+00
1.574996808E+01 1.253600936E+00 1.252846895E+00 1.252054019E+00 1.252068447E+00
1.524993176E+01 1.064412375E+00 1.063679975E+00 1.060132800E+00 1.055295158E+00
