name time T kT_1 I
10RV 10rv.dat 300.1 38.63 5.732E-007
11RV 11rv.dat 300 38.65 5.555E-007
12RV 12rv.dat 300 38.65 6.153E-007
13RV 13rv.dat 302.1 38.38 6.858E-007
14RV 14rv.dat 302 38.39 6.504E-007
15RV 15rv.dat 302 38.39 7.974E-007
16RV 16rv.dat 305 38.01 7.471E-007
17RV 17rv.dat 305 38.01 7.737E-007
18RV 18rv.dat 305 38.01 8.493E-007
19A11RV 19A11rv.dat 307 37.77 8.226E-007
19A1RV 19A1rv.dat 307 37.77 8.681E-007
19RV 19rv.dat 307 37.77 7.993E-007
1RV 1rv.dat 292 39.71 8.566E-007
20RV 20rv.dat 310 37.4 9.083E-007
21RV 21rv.dat 310 37.4 9.130E-007
22RV 22rv.dat 310 37.4 8.741E-007
23RV 23rv.dat 312 37.16 8.991E-007
24RV 24rv.dat 312 37.16 1.000E-006
25RV 25rv.dat 312 37.16 9.667E-007
26RV 26rv.dat 312 37.16 9.183E-007
27RV 27rv.dat 315 36.81 7.509E-007
28RV 28rv.dat 315 36.81 7.684E-007
29RV 29rv.dat 317 36.57 8.100E-007
2RV 2rv.dat 292 39.71 9.602E-007
30RV 30rv.dat 317 36.57 8.544E-007
31RV 31rv.dat 317 36.57 7.858E-007
32RV 32rv.dat 317 36.57 7.783E-007
33RV 33rv.dat 320 36.23 9.127E-007
34RV 34rv.dat 320 36.23 9.295E-007
35RV 35rv.dat 320 36.23 9.521E-007
36RV 36rv.dat 322 36.01 9.749E-007
37RV 37rv.dat 322 36.01 9.930E-007
38RV 38rv.dat 322 36.01 9.703E-007
39RV 39rv.dat 325 35.67 1.049E-006
3RV 3rv.dat 292 39.71 8.136E-007
40RV 40rv.dat 325 35.67 1.050E-006
41A1111RV 41A1111rv.dat 330.1 35.12 2.102E-006
41A111RV 41A111rv.dat 327 35.46 1.847E-006
41A11RV 41A11rv.dat 327 35.46 1.567E-006
41A1RV 41A1rv.dat 327 35.46 1.186E-006
41RV 41rv.dat 325 35.67 1.007E-006
42RV 42rv.dat 330 35.13 1.777E-006
43RV 43rv.dat 330 35.13 1.733E-006
44RV 44rv.dat 330 35.13 1.763E-006
45RV 45rv.dat 332 34.92 2.008E-006
46RV 46rv.dat 335 34.61 2.196E-006
47RV 47rv.dat 335 34.61 2.449E-006
48RV 48rv.dat 337 34.4 2.534E-006
49RV 49rv.dat 337 34.4 2.574E-006
4RV 4rv.dat 295 39.3 1.313E-006
50RV 50rv.dat 340 34.1 2.945E-006
51RV 51rv.dat 340 34.1 2.823E-006
52RV 52rv.dat 340 34.1 2.520E-006
5RV 5rv.dat 295 39.3 2.120E-006
6RV 6rv.dat 295 39.3 7.400E-007
7RV 7rv.dat 295 39.3 7.289E-007
8RV 8rv.dat 297.1 39.02 6.121E-007
9RV 9rv.dat 297 39.04 5.585E-007
