name time T kT_1 I
10RV 10rv.dat 300.1 38.63 6.730E-006
11RV 11rv.dat 300 38.65 6.731E-006
12RV 12rv.dat 300 38.65 7.507E-006
13RV 13rv.dat 302.1 38.38 7.778E-006
14RV 14rv.dat 302 38.39 7.728E-006
15RV 15rv.dat 302 38.39 7.988E-006
16RV 16rv.dat 305 38.01 8.335E-006
17RV 17rv.dat 305 38.01 8.510E-006
18RV 18rv.dat 305 38.01 8.270E-006
19A11RV 19A11rv.dat 307 37.77 8.891E-006
19A1RV 19A1rv.dat 307 37.77 8.783E-006
19RV 19rv.dat 307 37.77 8.878E-006
1RV 1rv.dat 292 39.71 8.143E-006
20RV 20rv.dat 310 37.4 9.576E-006
21RV 21rv.dat 310 37.4 9.859E-006
22RV 22rv.dat 310 37.4 9.750E-006
23RV 23rv.dat 312 37.16 9.815E-006
24RV 24rv.dat 312 37.16 9.754E-006
25RV 25rv.dat 312 37.16 9.750E-006
26RV 26rv.dat 312 37.16 9.065E-006
27RV 27rv.dat 315 36.81 9.095E-006
28RV 28rv.dat 315 36.81 9.066E-006
29RV 29rv.dat 317 36.57 9.527E-006
2RV 2rv.dat 292 39.71 8.050E-006
30RV 30rv.dat 317 36.57 9.583E-006
31RV 31rv.dat 317 36.57 9.480E-006
32RV 32rv.dat 317 36.57 9.345E-006
33RV 33rv.dat 320 36.23 1.018E-005
34RV 34rv.dat 320 36.23 1.010E-005
35RV 35rv.dat 320 36.23 1.011E-005
36RV 36rv.dat 322 36.01 1.042E-005
37RV 37rv.dat 322 36.01 1.077E-005
38RV 38rv.dat 322 36.01 1.061E-005
39RV 39rv.dat 325 35.67 1.160E-005
3RV 3rv.dat 292 39.71 8.288E-006
40RV 40rv.dat 325 35.67 1.114E-005
41A1111RV 41A1111rv.dat 330.1 35.12 1.704E-005
41A111RV 41A111rv.dat 327 35.46 1.536E-005
41A11RV 41A11rv.dat 327 35.46 1.574E-005
41A1RV 41A1rv.dat 327 35.46 1.134E-005
41RV 41rv.dat 325 35.67 1.132E-005
42RV 42rv.dat 330 35.13 1.673E-005
43RV 43rv.dat 330 35.13 1.637E-005
44RV 44rv.dat 330 35.13 1.602E-005
45RV 45rv.dat 332 34.92 1.702E-005
46RV 46rv.dat 335 34.61 1.890E-005
47RV 47rv.dat 335 34.61 1.889E-005
48RV 48rv.dat 337 34.4 1.994E-005
49RV 49rv.dat 337 34.4 1.992E-005
4RV 4rv.dat 295 39.3 1.143E-005
50RV 50rv.dat 340 34.1 2.186E-005
51RV 51rv.dat 340 34.1 2.186E-005
52RV 52rv.dat 340 34.1 1.916E-005
5RV 5rv.dat 295 39.3 1.484E-005
6RV 6rv.dat 295 39.3 7.905E-006
7RV 7rv.dat 295 39.3 8.090E-006
8RV 8rv.dat 297.1 39.02 6.910E-006
9RV 9rv.dat 297 39.04 6.897E-006
