fname time Tem kT_1 Nfe tau_r Wph Em t_ass rmsre 
W60S05 1388421174 0 555 5.816503598E+18 4.163620648E-06 3.400000000E-04 6.298649253E-01 3.033374841E+02 1.241298993E-03 
W60S10 1388421174 0 555 7.909569797E+18 7.206467021E-06 3.400000000E-04 6.313838539E-01 3.194632884E+02 1.310056537E-03 
W60S20 1388422109 0 555 9.275562069E+18 2.615496304E-05 3.400000000E-04 6.325148460E-01 3.320248679E+02 1.505424570E-03 
W65S01U 1388421174 0 555 3.646988582E+18 1.946837066E-06 3.400000000E-04 6.210389496E-01 2.244998315E+02 1.507812539E-03 
W65S03U 1388423461 0 555 6.874828842E+18 5.425630228E-06 3.400000000E-04 6.224297105E-01 2.354034220E+02 1.321874902E-03 
W65S05U 1388421174 0 555 8.003437188E+18 1.007701838E-05 3.400000000E-04 6.229973068E-01 2.400041240E+02 1.426529805E-03 
W65S10U 1388421174 0 555 1.021941525E+19 7.938373963E-06 3.400000000E-04 6.245573372E-01 2.531175668E+02 1.803334776E-03 
W65S15U 1388421174 0 555 9.403113677E+18 3.283715185E-05 3.400000000E-04 6.245402893E-01 2.529704612E+02 1.634652449E-03 
W65S20 1388421174 0 555 1.015130648E+19 9.999999755E+01 3.400000000E-04 6.338560204E-01 3.475625741E+02 1.482588415E-03 
W65S20U 1388421174 0 555 9.950393482E+18 5.180829152E-04 3.400000000E-04 6.245299482E-01 2.528812703E+02 1.638961405E-03 
W70S03U 1388421174 0 555 8.125224869E+18 9.002528457E-06 3.400000000E-04 6.242491605E-01 2.504714805E+02 1.885792573E-03 
