fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev  
001_300 001_300.dat 300 38.65 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.322013802E-15 1.000000000E+20 1.203883370E+00 2.236640482E-16 2.839885742E-04 
001_300_SRH 001_300_srh.dat 300 38.65 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.898319639E-16 1.000000000E+20 1.226599015E+00 2.120375404E-16 5.986158294E-04 
002_300 002_300.dat 300 38.65 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.610167591E-15 1.000000000E+20 1.214287579E+00 3.211465325E-16 3.509029806E-04 
002_300_SRH 002_300_srh.dat 300 38.65 1.000000000E+00 1.000000000E+00 0.000000000E+00 9.864387904E-16 1.000000000E+20 1.227048383E+00 3.108277371E-16 6.138807419E-04 
003_300 003_300.dat 300 38.65 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.007040739E-15 1.000000000E+20 1.220868298E+00 4.646847736E-16 4.233811436E-04 
003_300_SRH 003_300_srh.dat 300 38.65 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.395771687E-15 1.000000000E+20 1.227663891E+00 4.554324067E-16 6.358857091E-04 
004_300 004_300.dat 300 38.65 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.540576852E-15 1.000000000E+20 1.223915733E+00 6.758317285E-16 4.953306691E-04 
004_300_SRH 004_300_srh.dat 300 38.65 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.947694042E-15 1.000000000E+20 1.228483787E+00 6.669330204E-16 6.673578359E-04 
005_300 005_300.dat 300 38.65 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.240172271E-15 1.000000000E+20 1.226500853E+00 9.845144047E-16 5.738949222E-04 
005_300_SRH 005_300_srh.dat 300 38.65 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.670586926E-15 1.000000000E+20 1.229536776E+00 9.760372548E-16 7.118782364E-04 
