fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
0T01 7:54:00 295.2 39.28 1.000E+000 7.300E-001 1.047E-006 1.590E+004 2.615E+000 1.490E-008 4.536E-004 
0T02 7:56:36 295.1 39.29 1.000E+000 7.300E-001 1.024E-006 1.590E+004 2.620E+000 1.458E-008 3.639E-004 
0T03 7:59:22 295.1 39.29 1.000E+000 7.300E-001 1.049E-006 1.590E+004 2.620E+000 1.459E-008 9.172E-004 
0T04 8:02:28 295 39.3 1.000E+000 7.300E-001 1.032E-006 1.590E+004 2.621E+000 1.454E-008 5.355E-004 
0T05 8:06:46 294.9 39.32 1.000E+000 7.300E-001 1.046E-006 1.590E+004 2.623E+000 1.443E-008 5.577E-004 
0T06 8:11:40 294.9 39.32 1.000E+000 7.300E-001 1.037E-006 1.590E+004 2.621E+000 1.449E-008 5.852E-004 
0T07 8:15:02 295 39.3 1.000E+000 7.300E-001 1.057E-006 1.590E+004 2.620E+000 1.455E-008 4.225E-004 
0T08 8:17:14 295 39.3 1.000E+000 7.300E-001 1.049E-006 1.590E+004 2.621E+000 1.449E-008 3.450E-004 
0T09 8:21:12 295 39.3 1.000E+000 7.300E-001 1.064E-006 1.590E+004 2.621E+000 1.453E-008 6.573E-004 
0T10 8:29:42 295 39.3 1.000E+000 7.300E-001 1.087E-006 1.590E+004 2.620E+000 1.466E-008 3.941E-004 
0T11 8:32:38 295 39.3 1.000E+000 7.300E-001 1.108E-006 1.590E+004 2.620E+000 1.459E-008 3.075E-004 
0T12 8:41:24 294.9 39.32 1.000E+000 7.300E-001 1.086E-006 1.590E+004 2.620E+000 1.456E-008 2.918E-004 
0T13 8:50:48 295.1 39.29 1.000E+000 7.300E-001 1.122E-006 1.590E+004 2.619E+000 1.472E-008 5.046E-004 
