N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 2.348400000E-05 2.102900000E-05 1.897800000E-05 1.716400000E-05 1.572100000E-05 1.390500000E-05 9.831000000E-06 4.940000000E-07 1.348200000E-05 1.445000000E-05 1.778500000E-05
1.600000000E+01 1.139050000E-04 1.046400000E-04 9.649400000E-05 8.863000000E-05 8.433400000E-05 8.361300000E-05 8.455700000E-05 9.033200000E-05 9.964300000E-05 1.119220000E-04 1.294810000E-04
1.700000000E+01 4.796600000E-04 4.388100000E-04 4.146330000E-04 3.587170000E-04 3.343000000E-04 3.188560000E-04 3.080420000E-04 3.155440000E-04 3.359290000E-04 3.650860000E-04 4.126960000E-04
1.549996187E+01 5.442800000E-05 4.947000000E-05 4.442300000E-05 4.134600000E-05 3.972600000E-05 3.923800000E-05 4.078500000E-05 4.370600000E-05 4.742300000E-05 5.064600000E-05 4.904600000E-05
1.649996187E+01 2.356840000E-04 2.157410000E-04 1.930750000E-04 1.789510000E-04 1.691660000E-04 1.612650000E-04 1.630420000E-04 1.712880000E-04 1.840220000E-04 2.066450000E-04 2.366170000E-04
1.674996808E+01 3.402090000E-04 3.116100000E-04 2.777930000E-04 2.556920000E-04 2.395860000E-04 2.259520000E-04 2.255070000E-04 2.338320000E-04 2.479030000E-04 2.752670000E-04 3.134470000E-04
1.624993176E+01 1.617010000E-04 1.481990000E-04 1.368710000E-04 1.247790000E-04 1.191260000E-04 1.169000000E-04 1.173430000E-04 1.244830000E-04 1.367970000E-04 1.528360000E-04 1.762600000E-04
1.574996808E+01 8.046200000E-05 7.214800000E-05 6.618700000E-05 6.176100000E-05 5.919900000E-05 5.795800000E-05 5.995800000E-05 6.422600000E-05 7.061900000E-05 7.981500000E-05 9.078000000E-05
1.524993176E+01 3.600000000E-05 3.212400000E-05 2.899500000E-05 2.705900000E-05 2.602300000E-05 2.566200000E-05 2.594100000E-05 2.561800000E-05 2.191500000E-05 9.971000000E-06 1.567800000E-05
