Ytrue Ypred RSE
681299999999.999756 698532757504.000000 0.000624
464200000000.000854 417983889408.000000 0.011008
68129999999.999977 68612292608.000000 0.000050
1467999999999.998779 1451399708672.000000 0.000129
14679999999999.988281 13692303310848.000000 0.004853
68129999999.999977 69416099840.000000 0.000350
146799999999.999878 99356041216.000000 0.154327
10000000000000.000000 11185428627456.000000 0.012563
215400000000.000427 211719487488.000000 0.000297
681299999999.999756 670410276864.000000 0.000260
14679999999999.988281 15487811452928.000000 0.002870
100000000000000.000000 94268207136768.000000 0.003485
1000000000000.000000 932888117248.000000 0.004828
2154000000000.004395 2178361720832.000000 0.000126
46420000000.000084 44675284992.000000 0.001468
31620000000.000057 31525015552.000000 0.000009
68129999999999.976562 76546014445568.000000 0.013582
10000000000000.000000 10550625959936.000000 0.002874
68129999999.999977 67289698304.000000 0.000154
3162000000000.005859 2743746691072.000000 0.020164
100000000000.000000 98604662784.000000 0.000197
6812999999999.998047 7469113802752.000000 0.008460
316200000000.000610 303986212864.000000 0.001552
14679999999999.988281 16231070433280.000000 0.010097
14679999999999.988281 13611033427968.000000 0.005719
21540000000000.042969 22184726626304.000000 0.000870
4642000000000.007812 4789626732544.000000 0.000980
3162000000000.005859 3094123380736.000000 0.000471
316200000000.000610 290710650880.000000 0.007068
68129999999999.976562 74872923357184.000000 0.008913
68129999999999.976562 74085929320448.000000 0.007028
10000000000000.000000 10270326915072.000000 0.000712
10000000000000.000000 10636580880384.000000 0.003810
31620000000000.058594 35100003663872.000000 0.010912
14679999999.999989 14879925248.000000 0.000183
681299999999.999756 666726760448.000000 0.000468
1000000000000.000000 959943016448.000000 0.001672
316200000000.000610 322811723776.000000 0.000428
21540000000.000042 21322932224.000000 0.000103
68129999999999.976562 64742953582592.000000 0.002601
21540000000.000042 21486313472.000000 0.000006
10000000000000.000000 11203472523264.000000 0.012928
464200000000.000854 450292613120.000000 0.000925
3162000000000.005859 3305539108864.000000 0.001971
10000000000.000000 10228643840.000000 0.000511
31620000000.000057 48263577600.000000 0.181515
4642000000000.007812 5691204435968.000000 0.041669
316200000000.000610 307467124736.000000 0.000784
31620000000.000057 32262815744.000000 0.000405
68129999999.999977 65569792000.000000 0.001467
215400000000.000427 221474897920.000000 0.000774
100000000000.000000 103203577856.000000 0.000994
146799999999.999878 141510377472.000000 0.001347
14679999999.999989 14764670976.000000 0.000033
464200000000.000854 479897550848.000000 0.001106
100000000000.000000 100952924160.000000 0.000090
21540000000.000042 20828129280.000000 0.001130
316200000000.000610 328194588672.000000 0.001386
6812999999999.998047 7188210778112.000000 0.002875
14679999999.999989 15078895616.000000 0.000719
100000000000.000000 104303091712.000000 0.001775
100000000000000.000000 82677986230272.000000 0.036292
100000000000000.000000 84977723113472.000000 0.026556
1000000000000.000000 965519933440.000000 0.001231
215400000000.000427 214314156032.000000 0.000026
46420000000000.085938 21916909830144.000000 0.590143
1467999999999.998779 1326197374976.000000 0.010328
68129999999999.976562 77204201406464.000000 0.015654
2154000000000.004395 2443631919104.000000 0.015937
31620000000000.058594 34039440343040.000000 0.005439
14679999999.999989 14281590784.000000 0.000757
46420000000.000084 46510706688.000000 0.000004
14679999999999.988281 15419127627776.000000 0.002414
31620000000.000057 29196005376.000000 0.006365
1000000000000.000000 968076034048.000000 0.001053
