T d154 d184 d214 d244
d 150 180 210 240
290 9.227650000E-04 7.568100000E-04 6.484260000E-04 5.742730000E-04
295 8.263900000E-04 6.946860000E-04 6.097370000E-04 5.514000000E-04
300 7.442460000E-04 6.410160000E-04 5.733470000E-04 5.258370000E-04
305 6.337850000E-04 5.506290000E-04 4.928170000E-04 4.502200000E-04
310 4.086250000E-04 3.353000000E-04 2.789840000E-04 2.335120000E-04
315 -7.163900000E-05 -1.349060000E-04 -1.893960000E-04 -2.365770000E-04
320 6.221720000E-04 4.742000000E-04 3.791850000E-04 3.131110000E-04
325 6.571450000E-04 5.147950000E-04 4.210090000E-04 3.541860000E-04
330 7.922110000E-04 6.375760000E-04 5.338270000E-04 4.575330000E-04
335 1.077008000E-03 8.856740000E-04 7.546870000E-04 6.563370000E-04
340 1.594754000E-03 1.330976000E-03 1.147495000E-03 1.007889000E-03
