T d154 d184 d214 d244
d 150 180 210 240
290 3.278652000E-03 2.689676000E-03 2.294139000E-03 2.016254000E-03
295 2.921569000E-03 2.435816000E-03 2.111934000E-03 1.887184000E-03
300 2.688884000E-03 2.293525000E-03 2.034471000E-03 1.856915000E-03
305 2.574895000E-03 2.260372000E-03 2.053405000E-03 1.914999000E-03
310 2.564040000E-03 2.310207000E-03 2.147869000E-03 2.036462000E-03
315 2.616787000E-03 2.408159000E-03 2.265713000E-03 2.169271000E-03
320 2.650127000E-03 2.460165000E-03 2.318069000E-03 2.212586000E-03
325 2.511857000E-03 2.297462000E-03 2.120811000E-03 1.975959000E-03
330 1.927093000E-03 1.639891000E-03 1.390037000E-03 1.174805000E-03
335 5.430150000E-04 1.414340000E-04 -1.661480000E-04 -4.416100000E-04
340 1.131126000E-03 8.741250000E-04 7.133140000E-04 5.996950000E-04
