T TAUfeb
2.9000E+2 1.7854E-6
2.9100E+2 1.7931E-6
2.9200E+2 1.8012E-6
2.9300E+2 1.8097E-6
2.9400E+2 1.8185E-6
2.9500E+2 1.8278E-6
2.9600E+2 1.8374E-6
2.9700E+2 1.8475E-6
2.9800E+2 1.8579E-6
2.9900E+2 1.8688E-6
3.0000E+2 1.8801E-6
3.0100E+2 1.8919E-6
3.0200E+2 1.9041E-6
3.0300E+2 1.9168E-6
3.0400E+2 1.9300E-6
3.0500E+2 1.9437E-6
3.0600E+2 1.9579E-6
3.0700E+2 1.9726E-6
3.0800E+2 1.9878E-6
3.0900E+2 2.0036E-6
3.1000E+2 2.0199E-6
3.1100E+2 2.0367E-6
3.1200E+2 2.0542E-6
3.1300E+2 2.0722E-6
3.1400E+2 2.0908E-6
3.1500E+2 2.1100E-6
3.1600E+2 2.1299E-6
3.1700E+2 2.1504E-6
3.1800E+2 2.1716E-6
3.1900E+2 2.1934E-6
3.2000E+2 2.2159E-6
3.2100E+2 2.2390E-6
3.2200E+2 2.2629E-6
3.2300E+2 2.2875E-6
3.2400E+2 2.3129E-6
3.2500E+2 2.3390E-6
3.2600E+2 2.3658E-6
3.2700E+2 2.3935E-6
3.2800E+2 2.4219E-6
3.2900E+2 2.4511E-6
3.3000E+2 2.4812E-6
3.3100E+2 2.5121E-6
3.3200E+2 2.5439E-6
3.3300E+2 2.5765E-6
3.3400E+2 2.6100E-6
3.3500E+2 2.6445E-6
3.3600E+2 2.6798E-6
3.3700E+2 2.7161E-6
3.3800E+2 2.7534E-6
3.3900E+2 2.7916E-6
3.4000E+2 2.8308E-6
3.4100E+2 2.8711E-6
3.4200E+2 2.9123E-6
3.4300E+2 2.9546E-6
3.4400E+2 2.9980E-6
3.4500E+2 3.0425E-6
3.4600E+2 3.0880E-6
3.4700E+2 3.1347E-6
3.4800E+2 3.1825E-6
3.4900E+2 3.2315E-6
3.5000E+2 3.2816E-6
