T TAUauger
2.9000E+2 1.5168E-1
2.9100E+2 1.5212E-1
2.9200E+2 1.5254E-1
2.9300E+2 1.5296E-1
2.9400E+2 1.5336E-1
2.9500E+2 1.5375E-1
2.9600E+2 1.5413E-1
2.9700E+2 1.5450E-1
2.9800E+2 1.5486E-1
2.9900E+2 1.5520E-1
3.0000E+2 1.5553E-1
3.0100E+2 1.5586E-1
3.0200E+2 1.5617E-1
3.0300E+2 1.5647E-1
3.0400E+2 1.5676E-1
3.0500E+2 1.5704E-1
3.0600E+2 1.5731E-1
3.0700E+2 1.5758E-1
3.0800E+2 1.5783E-1
3.0900E+2 1.5807E-1
3.1000E+2 1.5831E-1
3.1100E+2 1.5854E-1
3.1200E+2 1.5876E-1
3.1300E+2 1.5898E-1
3.1400E+2 1.5919E-1
3.1500E+2 1.5939E-1
3.1600E+2 1.5959E-1
3.1700E+2 1.5978E-1
3.1800E+2 1.5996E-1
3.1900E+2 1.6014E-1
3.2000E+2 1.6032E-1
3.2100E+2 1.6049E-1
3.2200E+2 1.6066E-1
3.2300E+2 1.6082E-1
3.2400E+2 1.6098E-1
3.2500E+2 1.6114E-1
3.2600E+2 1.6129E-1
3.2700E+2 1.6144E-1
3.2800E+2 1.6158E-1
3.2900E+2 1.6172E-1
3.3000E+2 1.6186E-1
3.3100E+2 1.6199E-1
3.3200E+2 1.6212E-1
3.3300E+2 1.6225E-1
3.3400E+2 1.6237E-1
3.3500E+2 1.6249E-1
3.3600E+2 1.6260E-1
3.3700E+2 1.6270E-1
3.3800E+2 1.6280E-1
3.3900E+2 1.6290E-1
3.4000E+2 1.6298E-1
3.4100E+2 1.6306E-1
3.4200E+2 1.6312E-1
3.4300E+2 1.6318E-1
3.4400E+2 1.6323E-1
3.4500E+2 1.6326E-1
3.4600E+2 1.6328E-1
3.4700E+2 1.6328E-1
3.4800E+2 1.6327E-1
3.4900E+2 1.6325E-1
3.5000E+2 1.6320E-1
