T TAUfeb
2.9000E+2 1.7990E-7
2.9100E+2 1.8060E-7
2.9200E+2 1.8133E-7
2.9300E+2 1.8210E-7
2.9400E+2 1.8290E-7
2.9500E+2 1.8374E-7
2.9600E+2 1.8461E-7
2.9700E+2 1.8552E-7
2.9800E+2 1.8648E-7
2.9900E+2 1.8747E-7
3.0000E+2 1.8850E-7
3.0100E+2 1.8957E-7
3.0200E+2 1.9069E-7
3.0300E+2 1.9185E-7
3.0400E+2 1.9306E-7
3.0500E+2 1.9431E-7
3.0600E+2 1.9561E-7
3.0700E+2 1.9696E-7
3.0800E+2 1.9835E-7
3.0900E+2 1.9980E-7
3.1000E+2 2.0130E-7
3.1100E+2 2.0285E-7
3.1200E+2 2.0445E-7
3.1300E+2 2.0611E-7
3.1400E+2 2.0782E-7
3.1500E+2 2.0960E-7
3.1600E+2 2.1142E-7
3.1700E+2 2.1331E-7
3.1800E+2 2.1526E-7
3.1900E+2 2.1727E-7
3.2000E+2 2.1935E-7
3.2100E+2 2.2149E-7
3.2200E+2 2.2369E-7
3.2300E+2 2.2597E-7
3.2400E+2 2.2831E-7
3.2500E+2 2.3072E-7
3.2600E+2 2.3320E-7
3.2700E+2 2.3575E-7
3.2800E+2 2.3838E-7
3.2900E+2 2.4109E-7
3.3000E+2 2.4387E-7
3.3100E+2 2.4673E-7
3.3200E+2 2.4967E-7
3.3300E+2 2.5269E-7
3.3400E+2 2.5579E-7
3.3500E+2 2.5898E-7
3.3600E+2 2.6226E-7
3.3700E+2 2.6562E-7
3.3800E+2 2.6907E-7
3.3900E+2 2.7261E-7
3.4000E+2 2.7625E-7
3.4100E+2 2.7998E-7
3.4200E+2 2.8380E-7
3.4300E+2 2.8773E-7
3.4400E+2 2.9175E-7
3.4500E+2 2.9587E-7
3.4600E+2 3.0010E-7
3.4700E+2 3.0443E-7
3.4800E+2 3.0886E-7
3.4900E+2 3.1341E-7
3.5000E+2 3.1806E-7
