Voc delN
1.5000E-1 7.0649E+14
1.5500E-1 8.4511E+14
1.6000E-1 1.0108E+15
1.6500E-1 1.2088E+15
1.7000E-1 1.4455E+15
1.7500E-1 1.7285E+15
1.8000E-1 2.0666E+15
1.8500E-1 2.4708E+15
1.9000E-1 2.9540E+15
1.9500E-1 3.5314E+15
2.0000E-1 4.2217E+15
2.0500E-1 5.0467E+15
2.1000E-1 6.0328E+15
2.1500E-1 7.2115E+15
2.2000E-1 8.6204E+15
2.2500E-1 1.0304E+16
2.3000E-1 1.2317E+16
2.3500E-1 1.4723E+16
2.4000E-1 1.7598E+16
2.4500E-1 2.1035E+16
2.5000E-1 2.5144E+16
2.5500E-1 3.0054E+16
2.6000E-1 3.5923E+16
2.6500E-1 4.2938E+16
2.7000E-1 5.1323E+16
2.7500E-1 6.1345E+16
2.8000E-1 7.3324E+16
2.8500E-1 8.7642E+16
2.9000E-1 1.0476E+17
2.9500E-1 1.2521E+17
3.0000E-1 1.4966E+17
3.0500E-1 1.7888E+17
3.1000E-1 2.1380E+17
3.1500E-1 2.5554E+17
3.2000E-1 3.0543E+17
3.2500E-1 3.6506E+17
3.3000E-1 4.3632E+17
3.3500E-1 5.2149E+17
3.4000E-1 6.2328E+17
3.4500E-1 7.4492E+17
3.5000E-1 8.9029E+17
3.5500E-1 1.0640E+18
3.6000E-1 1.2716E+18
3.6500E-1 1.5196E+18
3.7000E-1 1.8159E+18
3.7500E-1 2.1700E+18
3.8000E-1 2.5929E+18
3.8500E-1 3.0981E+18
3.9000E-1 3.7014E+18
3.9500E-1 4.4218E+18
4.0000E-1 5.2820E+18
4.0500E-1 6.3086E+18
4.1000E-1 7.5338E+18
4.1500E-1 8.9953E+18
4.2000E-1 1.0738E+19
4.2500E-1 1.2816E+19
4.3000E-1 1.5290E+19
4.3500E-1 1.8237E+19
4.4000E-1 2.1743E+19
4.4500E-1 2.5911E+19
4.5000E-1 3.0860E+19
4.5500E-1 3.6731E+19
4.6000E-1 4.3686E+19
4.6500E-1 5.1912E+19
4.7000E-1 6.1625E+19
4.7500E-1 7.3070E+19
4.8000E-1 8.6526E+19
4.8500E-1 1.0231E+20
4.9000E-1 1.2076E+20
4.9500E-1 1.4227E+20
5.0000E-1 1.6727E+20
5.0500E-1 1.9622E+20
5.1000E-1 2.2961E+20
5.1500E-1 2.6797E+20
5.2000E-1 3.1189E+20
5.2500E-1 3.6195E+20
5.3000E-1 4.1880E+20
5.3500E-1 4.8311E+20
5.4000E-1 5.5560E+20
5.4500E-1 6.3702E+20
5.5000E-1 7.2817E+20
5.5500E-1 8.2992E+20
5.6000E-1 9.4320E+20
5.6500E-1 1.0690E+21
5.7000E-1 1.2084E+21
5.7500E-1 1.3626E+21
5.8000E-1 1.5328E+21
5.8500E-1 1.7205E+21
5.9000E-1 1.9271E+21
5.9500E-1 2.1545E+21
6.0000E-1 2.4043E+21
6.0500E-1 2.6786E+21
6.1000E-1 2.9795E+21
6.1500E-1 3.3096E+21
6.2000E-1 3.6714E+21
6.2500E-1 4.0679E+21
6.3000E-1 4.5020E+21
6.3500E-1 4.9775E+21
6.4000E-1 5.4979E+21
6.4500E-1 6.0675E+21
6.5000E-1 6.6909E+21
