Voc delN
1.5000E-1 1.3403E+16
1.5500E-1 1.5834E+16
1.6000E-1 1.8703E+16
1.6500E-1 2.2090E+16
1.7000E-1 2.6086E+16
1.7500E-1 3.0801E+16
1.8000E-1 3.6367E+16
1.8500E-1 4.2934E+16
1.9000E-1 5.0685E+16
1.9500E-1 5.9832E+16
2.0000E-1 7.0626E+16
2.0500E-1 8.3365E+16
2.1000E-1 9.8398E+16
2.1500E-1 1.1614E+17
2.2000E-1 1.3707E+17
2.2500E-1 1.6178E+17
2.3000E-1 1.9094E+17
2.3500E-1 2.2534E+17
2.4000E-1 2.6594E+17
2.4500E-1 3.1386E+17
2.5000E-1 3.7039E+17
2.5500E-1 4.3711E+17
2.6000E-1 5.1584E+17
2.6500E-1 6.0874E+17
2.7000E-1 7.1835E+17
2.7500E-1 8.4769E+17
2.8000E-1 1.0003E+18
2.8500E-1 1.1804E+18
2.9000E-1 1.3928E+18
2.9500E-1 1.6434E+18
3.0000E-1 1.9390E+18
3.0500E-1 2.2877E+18
3.1000E-1 2.6990E+18
3.1500E-1 3.1841E+18
3.2000E-1 3.7562E+18
3.2500E-1 4.4306E+18
3.3000E-1 5.2257E+18
3.3500E-1 6.1628E+18
3.4000E-1 7.2671E+18
3.4500E-1 8.5681E+18
3.5000E-1 1.0100E+19
3.5500E-1 1.1904E+19
3.6000E-1 1.4027E+19
3.6500E-1 1.6523E+19
3.7000E-1 1.9458E+19
3.7500E-1 2.2906E+19
3.8000E-1 2.6954E+19
3.8500E-1 3.1701E+19
3.9000E-1 3.7262E+19
3.9500E-1 4.3771E+19
4.0000E-1 5.1377E+19
4.0500E-1 6.0254E+19
4.1000E-1 7.0594E+19
4.1500E-1 8.2616E+19
4.2000E-1 9.6565E+19
4.2500E-1 1.1271E+20
4.3000E-1 1.3135E+20
4.3500E-1 1.5281E+20
4.4000E-1 1.7745E+20
4.4500E-1 2.0565E+20
4.5000E-1 2.3780E+20
4.5500E-1 2.7436E+20
4.6000E-1 3.1579E+20
4.6500E-1 3.6255E+20
4.7000E-1 4.1518E+20
4.7500E-1 4.7420E+20
4.8000E-1 5.4019E+20
4.8500E-1 6.1374E+20
4.9000E-1 6.9549E+20
4.9500E-1 7.8612E+20
