T TAUauger
2.9000E+2 1.5157E-1
2.9100E+2 1.5201E-1
2.9200E+2 1.5243E-1
2.9300E+2 1.5285E-1
2.9400E+2 1.5325E-1
2.9500E+2 1.5364E-1
2.9600E+2 1.5402E-1
2.9700E+2 1.5439E-1
2.9800E+2 1.5474E-1
2.9900E+2 1.5509E-1
3.0000E+2 1.5542E-1
3.0100E+2 1.5574E-1
3.0200E+2 1.5605E-1
3.0300E+2 1.5635E-1
3.0400E+2 1.5664E-1
3.0500E+2 1.5693E-1
3.0600E+2 1.5720E-1
3.0700E+2 1.5746E-1
3.0800E+2 1.5771E-1
3.0900E+2 1.5796E-1
3.1000E+2 1.5820E-1
3.1100E+2 1.5842E-1
3.1200E+2 1.5865E-1
3.1300E+2 1.5886E-1
3.1400E+2 1.5907E-1
3.1500E+2 1.5927E-1
3.1600E+2 1.5947E-1
3.1700E+2 1.5966E-1
3.1800E+2 1.5984E-1
3.1900E+2 1.6002E-1
3.2000E+2 1.6020E-1
3.2100E+2 1.6037E-1
3.2200E+2 1.6054E-1
3.2300E+2 1.6070E-1
3.2400E+2 1.6086E-1
3.2500E+2 1.6102E-1
3.2600E+2 1.6117E-1
3.2700E+2 1.6132E-1
3.2800E+2 1.6146E-1
3.2900E+2 1.6160E-1
3.3000E+2 1.6174E-1
3.3100E+2 1.6188E-1
3.3200E+2 1.6201E-1
3.3300E+2 1.6213E-1
3.3400E+2 1.6225E-1
3.3500E+2 1.6237E-1
3.3600E+2 1.6248E-1
3.3700E+2 1.6259E-1
3.3800E+2 1.6268E-1
3.3900E+2 1.6278E-1
3.4000E+2 1.6286E-1
3.4100E+2 1.6294E-1
3.4200E+2 1.6300E-1
3.4300E+2 1.6306E-1
3.4400E+2 1.6311E-1
3.4500E+2 1.6314E-1
3.4600E+2 1.6316E-1
3.4700E+2 1.6316E-1
3.4800E+2 1.6315E-1
3.4900E+2 1.6313E-1
3.5000E+2 1.6308E-1
