T TAUfeb
2.9000E+2 1.7990E-5
2.9100E+2 1.8060E-5
2.9200E+2 1.8133E-5
2.9300E+2 1.8210E-5
2.9400E+2 1.8290E-5
2.9500E+2 1.8374E-5
2.9600E+2 1.8461E-5
2.9700E+2 1.8552E-5
2.9800E+2 1.8648E-5
2.9900E+2 1.8747E-5
3.0000E+2 1.8850E-5
3.0100E+2 1.8957E-5
3.0200E+2 1.9069E-5
3.0300E+2 1.9185E-5
3.0400E+2 1.9306E-5
3.0500E+2 1.9431E-5
3.0600E+2 1.9561E-5
3.0700E+2 1.9696E-5
3.0800E+2 1.9835E-5
3.0900E+2 1.9980E-5
3.1000E+2 2.0130E-5
3.1100E+2 2.0285E-5
3.1200E+2 2.0445E-5
3.1300E+2 2.0611E-5
3.1400E+2 2.0782E-5
3.1500E+2 2.0960E-5
3.1600E+2 2.1142E-5
3.1700E+2 2.1331E-5
3.1800E+2 2.1526E-5
3.1900E+2 2.1727E-5
3.2000E+2 2.1935E-5
3.2100E+2 2.2149E-5
3.2200E+2 2.2369E-5
3.2300E+2 2.2597E-5
3.2400E+2 2.2831E-5
3.2500E+2 2.3072E-5
3.2600E+2 2.3320E-5
3.2700E+2 2.3575E-5
3.2800E+2 2.3838E-5
3.2900E+2 2.4109E-5
3.3000E+2 2.4387E-5
3.3100E+2 2.4673E-5
3.3200E+2 2.4967E-5
3.3300E+2 2.5269E-5
3.3400E+2 2.5579E-5
3.3500E+2 2.5898E-5
3.3600E+2 2.6226E-5
3.3700E+2 2.6562E-5
3.3800E+2 2.6907E-5
3.3900E+2 2.7261E-5
3.4000E+2 2.7625E-5
3.4100E+2 2.7998E-5
3.4200E+2 2.8380E-5
3.4300E+2 2.8773E-5
3.4400E+2 2.9175E-5
3.4500E+2 2.9587E-5
3.4600E+2 3.0010E-5
3.4700E+2 3.0443E-5
3.4800E+2 3.0886E-5
3.4900E+2 3.1341E-5
3.5000E+2 3.1806E-5
