Voc delN
1.5000E-1 2.4099E+15
1.5500E-1 2.8678E+15
1.6000E-1 3.4121E+15
1.6500E-1 4.0593E+15
1.7000E-1 4.8287E+15
1.7500E-1 5.7435E+15
1.8000E-1 6.8311E+15
1.8500E-1 8.1242E+15
1.9000E-1 9.6616E+15
1.9500E-1 1.1489E+16
2.0000E-1 1.3663E+16
2.0500E-1 1.6246E+16
2.1000E-1 1.9318E+16
2.1500E-1 2.2970E+16
2.2000E-1 2.7312E+16
2.2500E-1 3.2475E+16
2.3000E-1 3.8612E+16
2.3500E-1 4.5909E+16
2.4000E-1 5.4585E+16
2.4500E-1 6.4899E+16
2.5000E-1 7.7162E+16
2.5500E-1 9.1741E+16
2.6000E-1 1.0907E+17
2.6500E-1 1.2968E+17
2.7000E-1 1.5418E+17
2.7500E-1 1.8331E+17
2.8000E-1 2.1794E+17
2.8500E-1 2.5910E+17
2.9000E-1 3.0805E+17
2.9500E-1 3.6623E+17
3.0000E-1 4.3540E+17
3.0500E-1 5.1763E+17
3.1000E-1 6.1538E+17
3.1500E-1 7.3158E+17
3.2000E-1 8.6970E+17
3.2500E-1 1.0339E+18
3.3000E-1 1.2290E+18
3.3500E-1 1.4610E+18
3.4000E-1 1.7366E+18
3.4500E-1 2.0642E+18
3.5000E-1 2.4535E+18
3.5500E-1 2.9161E+18
3.6000E-1 3.4656E+18
3.6500E-1 4.1184E+18
3.7000E-1 4.8936E+18
3.7500E-1 5.8142E+18
3.8000E-1 6.9071E+18
3.8500E-1 8.2043E+18
3.9000E-1 9.7433E+18
3.9500E-1 1.1569E+19
4.0000E-1 1.3733E+19
4.0500E-1 1.6297E+19
4.1000E-1 1.9333E+19
4.1500E-1 2.2925E+19
4.2000E-1 2.7173E+19
4.2500E-1 3.2190E+19
4.3000E-1 3.8110E+19
4.3500E-1 4.5084E+19
4.4000E-1 5.3291E+19
4.4500E-1 6.2929E+19
4.5000E-1 7.4229E+19
4.5500E-1 8.7446E+19
4.6000E-1 1.0287E+20
4.6500E-1 1.2082E+20
4.7000E-1 1.4166E+20
4.7500E-1 1.6576E+20
4.8000E-1 1.9355E+20
4.8500E-1 2.2548E+20
4.9000E-1 2.6204E+20
4.9500E-1 3.0373E+20
5.0000E-1 3.5111E+20
5.0500E-1 4.0476E+20
5.1000E-1 4.6527E+20
5.1500E-1 5.3330E+20
5.2000E-1 6.0951E+20
5.2500E-1 6.9464E+20
5.3000E-1 7.8945E+20
5.3500E-1 8.9475E+20
5.4000E-1 1.0114E+21
5.4500E-1 1.1405E+21
5.5000E-1 1.2829E+21
5.5500E-1 1.4398E+21
5.6000E-1 1.6124E+21
5.6500E-1 1.8020E+21
5.7000E-1 2.0102E+21
5.7500E-1 2.2384E+21
5.8000E-1 2.4884E+21
5.8500E-1 2.7620E+21
5.9000E-1 3.0615E+21
5.9500E-1 3.3889E+21
6.0000E-1 3.7468E+21
6.0500E-1 4.1378E+21
6.1000E-1 4.5649E+21
6.1500E-1 5.0313E+21
6.2000E-1 5.5404E+21
6.2500E-1 6.0961E+21
6.3000E-1 6.7026E+21
6.3500E-1 7.3644E+21
6.4000E-1 8.0865E+21
6.4500E-1 8.8742E+21
6.5000E-1 9.7335E+21
