Voc delN
1.5000E-1 4.8335E+13
1.5500E-1 5.8487E+13
1.6000E-1 7.0764E+13
1.6500E-1 8.5611E+13
1.7000E-1 1.0357E+14
1.7500E-1 1.2528E+14
1.8000E-1 1.5154E+14
1.8500E-1 1.8329E+14
1.9000E-1 2.2170E+14
1.9500E-1 2.6814E+14
2.0000E-1 3.2431E+14
2.0500E-1 3.9223E+14
2.1000E-1 4.7437E+14
2.1500E-1 5.7370E+14
2.2000E-1 6.9383E+14
2.2500E-1 8.3910E+14
2.3000E-1 1.0148E+15
2.3500E-1 1.2273E+15
2.4000E-1 1.4842E+15
2.4500E-1 1.7949E+15
2.5000E-1 2.1707E+15
2.5500E-1 2.6251E+15
2.6000E-1 3.1747E+15
2.6500E-1 3.8393E+15
2.7000E-1 4.6430E+15
2.7500E-1 5.6149E+15
2.8000E-1 6.7903E+15
2.8500E-1 8.2118E+15
2.9000E-1 9.9308E+15
2.9500E-1 1.2010E+16
3.0000E-1 1.4524E+16
3.0500E-1 1.7564E+16
3.1000E-1 2.1241E+16
3.1500E-1 2.5687E+16
3.2000E-1 3.1064E+16
3.2500E-1 3.7567E+16
3.3000E-1 4.5430E+16
3.3500E-1 5.4940E+16
3.4000E-1 6.6440E+16
3.4500E-1 8.0348E+16
3.5000E-1 9.7166E+16
3.5500E-1 1.1750E+17
3.6000E-1 1.4210E+17
3.6500E-1 1.7184E+17
3.7000E-1 2.0781E+17
3.7500E-1 2.5130E+17
3.8000E-1 3.0390E+17
3.8500E-1 3.6749E+17
3.9000E-1 4.4440E+17
3.9500E-1 5.3739E+17
4.0000E-1 6.4983E+17
4.0500E-1 7.8578E+17
4.1000E-1 9.5015E+17
4.1500E-1 1.1489E+18
4.2000E-1 1.3891E+18
4.2500E-1 1.6796E+18
4.3000E-1 2.0306E+18
4.3500E-1 2.4550E+18
4.4000E-1 2.9677E+18
4.4500E-1 3.5874E+18
4.5000E-1 4.3359E+18
4.5500E-1 5.2401E+18
4.6000E-1 6.3320E+18
4.6500E-1 7.6501E+18
4.7000E-1 9.2407E+18
4.7500E-1 1.1159E+19
4.8000E-1 1.3473E+19
4.8500E-1 1.6260E+19
4.9000E-1 1.9616E+19
4.9500E-1 2.3653E+19
5.0000E-1 2.8505E+19
5.0500E-1 3.4328E+19
5.1000E-1 4.1307E+19
5.1500E-1 4.9658E+19
5.2000E-1 5.9631E+19
5.2500E-1 7.1515E+19
5.3000E-1 8.5640E+19
5.3500E-1 1.0238E+20
5.4000E-1 1.2216E+20
5.4500E-1 1.4545E+20
5.5000E-1 1.7276E+20
5.5500E-1 2.0467E+20
5.6000E-1 2.4177E+20
5.6500E-1 2.8475E+20
5.7000E-1 3.3429E+20
5.7500E-1 3.9114E+20
5.8000E-1 4.5610E+20
5.8500E-1 5.3000E+20
5.9000E-1 6.1375E+20
5.9500E-1 7.0830E+20
6.0000E-1 8.1468E+20
6.0500E-1 9.3398E+20
6.1000E-1 1.0674E+21
6.1500E-1 1.2163E+21
6.2000E-1 1.3820E+21
6.2500E-1 1.5661E+21
6.3000E-1 1.7704E+21
6.3500E-1 1.9966E+21
6.4000E-1 2.2470E+21
6.4500E-1 2.5237E+21
6.5000E-1 2.8294E+21
