ro Na
5.0000E-1 3.2436E+22
1.0000E+0 1.4985E+22
1.5000E+0 9.6876E+21
2.0000E+0 7.1440E+21
2.5000E+0 5.6534E+21
3.0000E+0 4.6752E+21
3.5000E+0 3.9844E+21
4.0000E+0 3.4708E+21
4.5000E+0 3.0741E+21
5.0000E+0 2.7585E+21
5.5000E+0 2.5014E+21
6.0000E+0 2.2881E+21
6.5000E+0 2.1082E+21
7.0000E+0 1.9544E+21
7.5000E+0 1.8215E+21
8.0000E+0 1.7055E+21
8.5000E+0 1.6034E+21
9.0000E+0 1.5127E+21
9.5000E+0 1.4318E+21
1.0000E+1 1.3590E+21
1.0500E+1 1.2933E+21
1.1000E+1 1.2336E+21
1.1500E+1 1.1792E+21
1.2000E+1 1.1293E+21
1.2500E+1 1.0835E+21
1.3000E+1 1.0413E+21
1.3500E+1 1.0022E+21
1.4000E+1 9.6596E+20
1.4500E+1 9.3224E+20
1.5000E+1 9.0078E+20
