Voc delN
1.5000E-1 5.1390E+12
1.5500E-1 6.2790E+12
1.6000E-1 7.6712E+12
1.6500E-1 9.3716E+12
1.7000E-1 1.1448E+13
1.7500E-1 1.3984E+13
1.8000E-1 1.7082E+13
1.8500E-1 2.0864E+13
1.9000E-1 2.5484E+13
1.9500E-1 3.1126E+13
2.0000E-1 3.8016E+13
2.0500E-1 4.6431E+13
2.1000E-1 5.6708E+13
2.1500E-1 6.9260E+13
2.2000E-1 8.4588E+13
2.2500E-1 1.0331E+14
2.3000E-1 1.2617E+14
2.3500E-1 1.5409E+14
2.4000E-1 1.8819E+14
2.4500E-1 2.2984E+14
2.5000E-1 2.8070E+14
2.5500E-1 3.4282E+14
2.6000E-1 4.1868E+14
2.6500E-1 5.1133E+14
2.7000E-1 6.2448E+14
2.7500E-1 7.6267E+14
2.8000E-1 9.3144E+14
2.8500E-1 1.1376E+15
2.9000E-1 1.3893E+15
2.9500E-1 1.6967E+15
3.0000E-1 2.0721E+15
3.0500E-1 2.5307E+15
3.1000E-1 3.0907E+15
3.1500E-1 3.7746E+15
3.2000E-1 4.6098E+15
3.2500E-1 5.6299E+15
3.3000E-1 6.8756E+15
3.3500E-1 8.3971E+15
3.4000E-1 1.0255E+16
3.4500E-1 1.2524E+16
3.5000E-1 1.5296E+16
3.5500E-1 1.8680E+16
3.6000E-1 2.2814E+16
3.6500E-1 2.7862E+16
3.7000E-1 3.4027E+16
3.7500E-1 4.1557E+16
3.8000E-1 5.0752E+16
3.8500E-1 6.1982E+16
3.9000E-1 7.5697E+16
3.9500E-1 9.2446E+16
4.0000E-1 1.1290E+17
4.0500E-1 1.3788E+17
4.1000E-1 1.6839E+17
4.1500E-1 2.0564E+17
4.2000E-1 2.5114E+17
4.2500E-1 3.0670E+17
4.3000E-1 3.7455E+17
4.3500E-1 4.5740E+17
4.4000E-1 5.5857E+17
4.4500E-1 6.8211E+17
4.5000E-1 8.3296E+17
4.5500E-1 1.0171E+18
4.6000E-1 1.2420E+18
4.6500E-1 1.5165E+18
4.7000E-1 1.8517E+18
4.7500E-1 2.2607E+18
4.8000E-1 2.7599E+18
4.8500E-1 3.3692E+18
4.9000E-1 4.1125E+18
4.9500E-1 5.0191E+18
