T TAUfei
2.9000E+2 6.7008E-7
2.9100E+2 6.6903E-7
2.9200E+2 6.6799E-7
2.9300E+2 6.6697E-7
2.9400E+2 6.6595E-7
2.9500E+2 6.6495E-7
2.9600E+2 6.6396E-7
2.9700E+2 6.6299E-7
2.9800E+2 6.6202E-7
2.9900E+2 6.6107E-7
3.0000E+2 6.6013E-7
3.0100E+2 6.5921E-7
3.0200E+2 6.5830E-7
3.0300E+2 6.5740E-7
3.0400E+2 6.5652E-7
3.0500E+2 6.5565E-7
3.0600E+2 6.5480E-7
3.0700E+2 6.5396E-7
3.0800E+2 6.5314E-7
3.0900E+2 6.5234E-7
3.1000E+2 6.5155E-7
3.1100E+2 6.5078E-7
3.1200E+2 6.5002E-7
3.1300E+2 6.4929E-7
3.1400E+2 6.4857E-7
3.1500E+2 6.4787E-7
3.1600E+2 6.4720E-7
3.1700E+2 6.4654E-7
3.1800E+2 6.4590E-7
3.1900E+2 6.4528E-7
3.2000E+2 6.4469E-7
3.2100E+2 6.4411E-7
3.2200E+2 6.4356E-7
3.2300E+2 6.4304E-7
3.2400E+2 6.4253E-7
3.2500E+2 6.4206E-7
3.2600E+2 6.4160E-7
3.2700E+2 6.4118E-7
3.2800E+2 6.4078E-7
3.2900E+2 6.4041E-7
3.3000E+2 6.4007E-7
3.3100E+2 6.3975E-7
3.3200E+2 6.3947E-7
3.3300E+2 6.3922E-7
3.3400E+2 6.3900E-7
3.3500E+2 6.3881E-7
3.3600E+2 6.3866E-7
3.3700E+2 6.3854E-7
3.3800E+2 6.3846E-7
3.3900E+2 6.3842E-7
3.4000E+2 6.3841E-7
3.4100E+2 6.3844E-7
3.4200E+2 6.3851E-7
3.4300E+2 6.3862E-7
3.4400E+2 6.3878E-7
3.4500E+2 6.3898E-7
3.4600E+2 6.3922E-7
3.4700E+2 6.3951E-7
3.4800E+2 6.3985E-7
3.4900E+2 6.4023E-7
3.5000E+2 6.4067E-7
