Voc delN
1.5000E-1 1.3164E+15
1.5500E-1 1.5705E+15
1.6000E-1 1.8734E+15
1.6500E-1 2.2345E+15
1.7000E-1 2.6649E+15
1.7500E-1 3.1780E+15
1.8000E-1 3.7896E+15
1.8500E-1 4.5187E+15
1.9000E-1 5.3878E+15
1.9500E-1 6.4237E+15
2.0000E-1 7.6587E+15
2.0500E-1 9.1308E+15
2.1000E-1 1.0886E+16
2.1500E-1 1.2977E+16
2.2000E-1 1.5471E+16
2.2500E-1 1.8443E+16
2.3000E-1 2.1986E+16
2.3500E-1 2.6210E+16
2.4000E-1 3.1245E+16
2.4500E-1 3.7246E+16
2.5000E-1 4.4400E+16
2.5500E-1 5.2928E+16
2.6000E-1 6.3093E+16
2.6500E-1 7.5211E+16
2.7000E-1 8.9655E+16
2.7500E-1 1.0687E+17
2.8000E-1 1.2740E+17
2.8500E-1 1.5186E+17
2.9000E-1 1.8102E+17
2.9500E-1 2.1578E+17
3.0000E-1 2.5722E+17
3.0500E-1 3.0660E+17
3.1000E-1 3.6547E+17
3.1500E-1 4.3563E+17
3.2000E-1 5.1926E+17
3.2500E-1 6.1894E+17
3.3000E-1 7.3774E+17
3.3500E-1 8.7933E+17
3.4000E-1 1.0481E+18
3.4500E-1 1.2492E+18
3.5000E-1 1.4888E+18
3.5500E-1 1.7743E+18
3.6000E-1 2.1146E+18
3.6500E-1 2.5199E+18
3.7000E-1 3.0028E+18
3.7500E-1 3.5780E+18
3.8000E-1 4.2629E+18
3.8500E-1 5.0786E+18
3.9000E-1 6.0496E+18
3.9500E-1 7.2053E+18
4.0000E-1 8.5804E+18
4.0500E-1 1.0216E+19
4.1000E-1 1.2161E+19
4.1500E-1 1.4472E+19
4.2000E-1 1.7216E+19
4.2500E-1 2.0474E+19
4.3000E-1 2.4338E+19
4.3500E-1 2.8917E+19
4.4000E-1 3.4336E+19
4.4500E-1 4.0743E+19
4.5000E-1 4.8306E+19
4.5500E-1 5.7221E+19
4.6000E-1 6.7709E+19
4.6500E-1 8.0022E+19
4.7000E-1 9.4444E+19
4.7500E-1 1.1129E+20
4.8000E-1 1.3092E+20
4.8500E-1 1.5371E+20
4.9000E-1 1.8009E+20
4.9500E-1 2.1052E+20
5.0000E-1 2.4548E+20
5.0500E-1 2.8551E+20
5.1000E-1 3.3115E+20
5.1500E-1 3.8300E+20
5.2000E-1 4.4169E+20
5.2500E-1 5.0786E+20
5.3000E-1 5.8221E+20
5.3500E-1 6.6549E+20
5.4000E-1 7.5848E+20
5.4500E-1 8.6201E+20
5.5000E-1 9.7699E+20
5.5500E-1 1.1044E+21
5.6000E-1 1.2453E+21
5.6500E-1 1.4008E+21
5.7000E-1 1.5722E+21
5.7500E-1 1.7609E+21
5.8000E-1 1.9683E+21
5.8500E-1 2.1960E+21
5.9000E-1 2.4459E+21
5.9500E-1 2.7198E+21
6.0000E-1 3.0200E+21
6.0500E-1 3.3486E+21
6.1000E-1 3.7084E+21
6.1500E-1 4.1020E+21
6.2000E-1 4.5325E+21
6.2500E-1 5.0033E+21
6.3000E-1 5.5179E+21
6.3500E-1 6.0803E+21
6.4000E-1 6.6950E+21
6.4500E-1 7.3665E+21
6.5000E-1 8.1002E+21
