T TAUfeb
2.9000E+2 1.7855E-6
2.9100E+2 1.7933E-6
2.9200E+2 1.8013E-6
2.9300E+2 1.8098E-6
2.9400E+2 1.8186E-6
2.9500E+2 1.8279E-6
2.9600E+2 1.8375E-6
2.9700E+2 1.8475E-6
2.9800E+2 1.8580E-6
2.9900E+2 1.8689E-6
3.0000E+2 1.8802E-6
3.0100E+2 1.8919E-6
3.0200E+2 1.9042E-6
3.0300E+2 1.9169E-6
3.0400E+2 1.9300E-6
3.0500E+2 1.9437E-6
3.0600E+2 1.9579E-6
3.0700E+2 1.9725E-6
3.0800E+2 1.9878E-6
3.0900E+2 2.0035E-6
3.1000E+2 2.0198E-6
3.1100E+2 2.0366E-6
3.1200E+2 2.0541E-6
3.1300E+2 2.0721E-6
3.1400E+2 2.0907E-6
3.1500E+2 2.1099E-6
3.1600E+2 2.1297E-6
3.1700E+2 2.1502E-6
3.1800E+2 2.1714E-6
3.1900E+2 2.1931E-6
3.2000E+2 2.2156E-6
3.2100E+2 2.2388E-6
3.2200E+2 2.2626E-6
3.2300E+2 2.2872E-6
3.2400E+2 2.3126E-6
3.2500E+2 2.3386E-6
3.2600E+2 2.3655E-6
3.2700E+2 2.3931E-6
3.2800E+2 2.4215E-6
3.2900E+2 2.4507E-6
3.3000E+2 2.4807E-6
3.3100E+2 2.5116E-6
3.3200E+2 2.5434E-6
3.3300E+2 2.5760E-6
3.3400E+2 2.6095E-6
3.3500E+2 2.6439E-6
3.3600E+2 2.6792E-6
3.3700E+2 2.7155E-6
3.3800E+2 2.7527E-6
3.3900E+2 2.7909E-6
3.4000E+2 2.8301E-6
3.4100E+2 2.8703E-6
3.4200E+2 2.9115E-6
3.4300E+2 2.9538E-6
3.4400E+2 2.9971E-6
3.4500E+2 3.0416E-6
3.4600E+2 3.0871E-6
3.4700E+2 3.1337E-6
3.4800E+2 3.1815E-6
3.4900E+2 3.2304E-6
3.5000E+2 3.2805E-6
