T TAUfeb
2.9000E+2 1.7990E-6
2.9100E+2 1.8060E-6
2.9200E+2 1.8133E-6
2.9300E+2 1.8210E-6
2.9400E+2 1.8290E-6
2.9500E+2 1.8374E-6
2.9600E+2 1.8461E-6
2.9700E+2 1.8552E-6
2.9800E+2 1.8648E-6
2.9900E+2 1.8747E-6
3.0000E+2 1.8850E-6
3.0100E+2 1.8957E-6
3.0200E+2 1.9069E-6
3.0300E+2 1.9185E-6
3.0400E+2 1.9306E-6
3.0500E+2 1.9431E-6
3.0600E+2 1.9561E-6
3.0700E+2 1.9696E-6
3.0800E+2 1.9835E-6
3.0900E+2 1.9980E-6
3.1000E+2 2.0130E-6
3.1100E+2 2.0285E-6
3.1200E+2 2.0445E-6
3.1300E+2 2.0611E-6
3.1400E+2 2.0782E-6
3.1500E+2 2.0960E-6
3.1600E+2 2.1142E-6
3.1700E+2 2.1331E-6
3.1800E+2 2.1526E-6
3.1900E+2 2.1727E-6
3.2000E+2 2.1935E-6
3.2100E+2 2.2149E-6
3.2200E+2 2.2369E-6
3.2300E+2 2.2597E-6
3.2400E+2 2.2831E-6
3.2500E+2 2.3072E-6
3.2600E+2 2.3320E-6
3.2700E+2 2.3575E-6
3.2800E+2 2.3838E-6
3.2900E+2 2.4109E-6
3.3000E+2 2.4387E-6
3.3100E+2 2.4673E-6
3.3200E+2 2.4967E-6
3.3300E+2 2.5269E-6
3.3400E+2 2.5579E-6
3.3500E+2 2.5898E-6
3.3600E+2 2.6226E-6
3.3700E+2 2.6562E-6
3.3800E+2 2.6907E-6
3.3900E+2 2.7261E-6
3.4000E+2 2.7625E-6
3.4100E+2 2.7998E-6
3.4200E+2 2.8380E-6
3.4300E+2 2.8773E-6
3.4400E+2 2.9175E-6
3.4500E+2 2.9587E-6
3.4600E+2 3.0010E-6
3.4700E+2 3.0443E-6
3.4800E+2 3.0886E-6
3.4900E+2 3.1341E-6
3.5000E+2 3.1806E-6
