T TAUauger
2.9000E+2 1.7438E-1
2.9100E+2 1.7506E-1
2.9200E+2 1.7574E-1
2.9300E+2 1.7643E-1
2.9400E+2 1.7711E-1
2.9500E+2 1.7778E-1
2.9600E+2 1.7846E-1
2.9700E+2 1.7914E-1
2.9800E+2 1.7981E-1
2.9900E+2 1.8048E-1
3.0000E+2 1.8115E-1
3.0100E+2 1.8182E-1
3.0200E+2 1.8249E-1
3.0300E+2 1.8315E-1
3.0400E+2 1.8382E-1
3.0500E+2 1.8448E-1
3.0600E+2 1.8514E-1
3.0700E+2 1.8580E-1
3.0800E+2 1.8645E-1
3.0900E+2 1.8711E-1
3.1000E+2 1.8776E-1
3.1100E+2 1.8841E-1
3.1200E+2 1.8906E-1
3.1300E+2 1.8971E-1
3.1400E+2 1.9036E-1
3.1500E+2 1.9100E-1
3.1600E+2 1.9165E-1
3.1700E+2 1.9229E-1
3.1800E+2 1.9293E-1
3.1900E+2 1.9357E-1
3.2000E+2 1.9420E-1
3.2100E+2 1.9484E-1
3.2200E+2 1.9547E-1
3.2300E+2 1.9610E-1
3.2400E+2 1.9673E-1
3.2500E+2 1.9735E-1
3.2600E+2 1.9798E-1
3.2700E+2 1.9860E-1
3.2800E+2 1.9922E-1
3.2900E+2 1.9984E-1
3.3000E+2 2.0046E-1
3.3100E+2 2.0108E-1
3.3200E+2 2.0169E-1
3.3300E+2 2.0230E-1
3.3400E+2 2.0291E-1
3.3500E+2 2.0352E-1
3.3600E+2 2.0413E-1
3.3700E+2 2.0473E-1
3.3800E+2 2.0534E-1
3.3900E+2 2.0594E-1
3.4000E+2 2.0654E-1
3.4100E+2 2.0713E-1
3.4200E+2 2.0773E-1
3.4300E+2 2.0832E-1
3.4400E+2 2.0891E-1
3.4500E+2 2.0950E-1
3.4600E+2 2.1009E-1
3.4700E+2 2.1068E-1
3.4800E+2 2.1126E-1
3.4900E+2 2.1184E-1
3.5000E+2 2.1242E-1
