Voc delN
1.5000E-1 2.3446E+13
1.5500E-1 2.8459E+13
1.6000E-1 3.4541E+13
1.6500E-1 4.1920E+13
1.7000E-1 5.0871E+13
1.7500E-1 6.1730E+13
1.8000E-1 7.4904E+13
1.8500E-1 9.0887E+13
1.9000E-1 1.1028E+14
1.9500E-1 1.3380E+14
2.0000E-1 1.6234E+14
2.0500E-1 1.9696E+14
2.1000E-1 2.3896E+14
2.1500E-1 2.8991E+14
2.2000E-1 3.5173E+14
2.2500E-1 4.2672E+14
2.3000E-1 5.1770E+14
2.3500E-1 6.2807E+14
2.4000E-1 7.6197E+14
2.4500E-1 9.2442E+14
2.5000E-1 1.1215E+15
2.5500E-1 1.3606E+15
2.6000E-1 1.6506E+15
2.6500E-1 2.0025E+15
2.7000E-1 2.4294E+15
2.7500E-1 2.9473E+15
2.8000E-1 3.5756E+15
2.8500E-1 4.3378E+15
2.9000E-1 5.2625E+15
2.9500E-1 6.3843E+15
3.0000E-1 7.7452E+15
3.0500E-1 9.3963E+15
3.1000E-1 1.1399E+16
3.1500E-1 1.3829E+16
3.2000E-1 1.6777E+16
3.2500E-1 2.0354E+16
3.3000E-1 2.4692E+16
3.3500E-1 2.9956E+16
3.4000E-1 3.6341E+16
3.4500E-1 4.4088E+16
3.5000E-1 5.3486E+16
3.5500E-1 6.4887E+16
3.6000E-1 7.8718E+16
3.6500E-1 9.5497E+16
3.7000E-1 1.1585E+17
3.7500E-1 1.4055E+17
3.8000E-1 1.7050E+17
3.8500E-1 2.0684E+17
3.9000E-1 2.5093E+17
3.9500E-1 3.0441E+17
4.0000E-1 3.6928E+17
4.0500E-1 4.4797E+17
4.1000E-1 5.4343E+17
4.1500E-1 6.5921E+17
4.2000E-1 7.9966E+17
4.2500E-1 9.7000E+17
4.3000E-1 1.1766E+18
4.3500E-1 1.4271E+18
4.4000E-1 1.7310E+18
4.4500E-1 2.0994E+18
4.5000E-1 2.5461E+18
4.5500E-1 3.0876E+18
4.6000E-1 3.7440E+18
4.6500E-1 4.5395E+18
4.7000E-1 5.5033E+18
4.7500E-1 6.6707E+18
4.8000E-1 8.0843E+18
4.8500E-1 9.7954E+18
4.9000E-1 1.1866E+19
4.9500E-1 1.4369E+19
5.0000E-1 1.7393E+19
5.0500E-1 2.1045E+19
5.1000E-1 2.5450E+19
5.1500E-1 3.0758E+19
5.2000E-1 3.7144E+19
5.2500E-1 4.4816E+19
5.3000E-1 5.4016E+19
5.3500E-1 6.5024E+19
5.4000E-1 7.8164E+19
5.4500E-1 9.3806E+19
5.5000E-1 1.1237E+20
5.5500E-1 1.3432E+20
5.6000E-1 1.6018E+20
5.6500E-1 1.9052E+20
5.7000E-1 2.2597E+20
5.7500E-1 2.6720E+20
5.8000E-1 3.1492E+20
5.8500E-1 3.6990E+20
5.9000E-1 4.3297E+20
5.9500E-1 5.0499E+20
6.0000E-1 5.8687E+20
6.0500E-1 6.7960E+20
6.1000E-1 7.8424E+20
6.1500E-1 9.0191E+20
6.2000E-1 1.0339E+21
6.2500E-1 1.1814E+21
6.3000E-1 1.3461E+21
6.3500E-1 1.5294E+21
6.4000E-1 1.7332E+21
6.4500E-1 1.9594E+21
6.5000E-1 2.2101E+21
