T TAUfei
2.9000E+2 6.9774E-7
2.9100E+2 6.9655E-7
2.9200E+2 6.9536E-7
2.9300E+2 6.9419E-7
2.9400E+2 6.9302E-7
2.9500E+2 6.9185E-7
2.9600E+2 6.9069E-7
2.9700E+2 6.8954E-7
2.9800E+2 6.8840E-7
2.9900E+2 6.8726E-7
3.0000E+2 6.8613E-7
3.0100E+2 6.8501E-7
3.0200E+2 6.8389E-7
3.0300E+2 6.8278E-7
3.0400E+2 6.8167E-7
3.0500E+2 6.8057E-7
3.0600E+2 6.7948E-7
3.0700E+2 6.7839E-7
3.0800E+2 6.7731E-7
3.0900E+2 6.7624E-7
3.1000E+2 6.7517E-7
3.1100E+2 6.7411E-7
3.1200E+2 6.7306E-7
3.1300E+2 6.7201E-7
3.1400E+2 6.7097E-7
3.1500E+2 6.6994E-7
3.1600E+2 6.6891E-7
3.1700E+2 6.6789E-7
3.1800E+2 6.6687E-7
3.1900E+2 6.6586E-7
3.2000E+2 6.6486E-7
3.2100E+2 6.6386E-7
3.2200E+2 6.6287E-7
3.2300E+2 6.6189E-7
3.2400E+2 6.6091E-7
3.2500E+2 6.5994E-7
3.2600E+2 6.5898E-7
3.2700E+2 6.5802E-7
3.2800E+2 6.5707E-7
3.2900E+2 6.5613E-7
3.3000E+2 6.5519E-7
3.3100E+2 6.5426E-7
3.3200E+2 6.5334E-7
3.3300E+2 6.5243E-7
3.3400E+2 6.5152E-7
3.3500E+2 6.5062E-7
3.3600E+2 6.4972E-7
3.3700E+2 6.4883E-7
3.3800E+2 6.4795E-7
3.3900E+2 6.4708E-7
3.4000E+2 6.4621E-7
3.4100E+2 6.4536E-7
3.4200E+2 6.4451E-7
3.4300E+2 6.4366E-7
3.4400E+2 6.4283E-7
3.4500E+2 6.4200E-7
3.4600E+2 6.4118E-7
3.4700E+2 6.4037E-7
3.4800E+2 6.3957E-7
3.4900E+2 6.3877E-7
3.5000E+2 6.3798E-7
