Voc delN
1.5000E-1 4.3382E+15
1.5500E-1 5.1496E+15
1.6000E-1 6.1118E+15
1.6500E-1 7.2528E+15
1.7000E-1 8.6060E+15
1.7500E-1 1.0211E+16
1.8000E-1 1.2114E+16
1.8500E-1 1.4371E+16
1.9000E-1 1.7047E+16
1.9500E-1 2.0221E+16
2.0000E-1 2.3985E+16
2.0500E-1 2.8448E+16
2.1000E-1 3.3742E+16
2.1500E-1 4.0019E+16
2.2000E-1 4.7463E+16
2.2500E-1 5.6291E+16
2.3000E-1 6.6760E+16
2.3500E-1 7.9175E+16
2.4000E-1 9.3897E+16
2.4500E-1 1.1136E+17
2.5000E-1 1.3206E+17
2.5500E-1 1.5661E+17
2.6000E-1 1.8573E+17
2.6500E-1 2.2025E+17
2.7000E-1 2.6120E+17
2.7500E-1 3.0975E+17
2.8000E-1 3.6732E+17
2.8500E-1 4.3559E+17
2.9000E-1 5.1654E+17
2.9500E-1 6.1253E+17
3.0000E-1 7.2634E+17
3.0500E-1 8.6129E+17
3.1000E-1 1.0213E+18
3.1500E-1 1.2110E+18
3.2000E-1 1.4359E+18
3.2500E-1 1.7025E+18
3.3000E-1 2.0185E+18
3.3500E-1 2.3931E+18
3.4000E-1 2.8370E+18
3.4500E-1 3.3632E+18
3.5000E-1 3.9866E+18
3.5500E-1 4.7251E+18
3.6000E-1 5.5999E+18
3.6500E-1 6.6359E+18
3.7000E-1 7.8625E+18
3.7500E-1 9.3143E+18
3.8000E-1 1.1032E+19
3.8500E-1 1.3063E+19
3.9000E-1 1.5465E+19
3.9500E-1 1.8302E+19
4.0000E-1 2.1652E+19
4.0500E-1 2.5604E+19
4.1000E-1 3.0262E+19
4.1500E-1 3.5747E+19
4.2000E-1 4.2197E+19
4.2500E-1 4.9772E+19
4.3000E-1 5.8656E+19
4.3500E-1 6.9054E+19
4.4000E-1 8.1201E+19
4.4500E-1 9.5359E+19
4.5000E-1 1.1182E+20
4.5500E-1 1.3091E+20
4.6000E-1 1.5298E+20
4.6500E-1 1.7842E+20
4.7000E-1 2.0765E+20
4.7500E-1 2.4110E+20
4.8000E-1 2.7927E+20
4.8500E-1 3.2265E+20
4.9000E-1 3.7177E+20
4.9500E-1 4.2721E+20
5.0000E-1 4.8955E+20
5.0500E-1 5.5943E+20
5.1000E-1 6.3750E+20
5.1500E-1 7.2446E+20
5.2000E-1 8.2108E+20
5.2500E-1 9.2816E+20
5.3000E-1 1.0466E+21
5.3500E-1 1.1772E+21
5.4000E-1 1.3211E+21
5.4500E-1 1.4794E+21
5.5000E-1 1.6532E+21
5.5500E-1 1.8439E+21
5.6000E-1 2.0528E+21
5.6500E-1 2.2815E+21
5.7000E-1 2.5317E+21
5.7500E-1 2.8052E+21
5.8000E-1 3.1040E+21
5.8500E-1 3.4303E+21
5.9000E-1 3.7864E+21
5.9500E-1 4.1751E+21
6.0000E-1 4.5990E+21
6.0500E-1 5.0613E+21
6.1000E-1 5.5653E+21
6.1500E-1 6.1148E+21
6.2000E-1 6.7137E+21
6.2500E-1 7.3663E+21
6.3000E-1 8.0774E+21
6.3500E-1 8.8523E+21
6.4000E-1 9.6964E+21
6.4500E-1 1.0616E+22
6.5000E-1 1.1618E+22
