Voc delN
1.5000E-1 1.9240E+14
1.5500E-1 2.3144E+14
1.6000E-1 2.7836E+14
1.6500E-1 3.3476E+14
1.7000E-1 4.0255E+14
1.7500E-1 4.8405E+14
1.8000E-1 5.8201E+14
1.8500E-1 6.9976E+14
1.9000E-1 8.4131E+14
1.9500E-1 1.0115E+15
2.0000E-1 1.2160E+15
2.0500E-1 1.4618E+15
2.1000E-1 1.7574E+15
2.1500E-1 2.1126E+15
2.2000E-1 2.5397E+15
2.2500E-1 3.0530E+15
2.3000E-1 3.6700E+15
2.3500E-1 4.4117E+15
2.4000E-1 5.3033E+15
2.4500E-1 6.3750E+15
2.5000E-1 7.6633E+15
2.5500E-1 9.2119E+15
2.6000E-1 1.1073E+16
2.6500E-1 1.3311E+16
2.7000E-1 1.6001E+16
2.7500E-1 1.9234E+16
2.8000E-1 2.3120E+16
2.8500E-1 2.7792E+16
2.9000E-1 3.3407E+16
2.9500E-1 4.0158E+16
3.0000E-1 4.8272E+16
3.0500E-1 5.8025E+16
3.1000E-1 6.9749E+16
3.1500E-1 8.3842E+16
3.2000E-1 1.0078E+17
3.2500E-1 1.2114E+17
3.3000E-1 1.4562E+17
3.3500E-1 1.7504E+17
3.4000E-1 2.1040E+17
3.4500E-1 2.5291E+17
3.5000E-1 3.0400E+17
3.5500E-1 3.6541E+17
3.6000E-1 4.3922E+17
3.6500E-1 5.2793E+17
3.7000E-1 6.3455E+17
3.7500E-1 7.6270E+17
3.8000E-1 9.1670E+17
3.8500E-1 1.1018E+18
3.9000E-1 1.3242E+18
3.9500E-1 1.5914E+18
4.0000E-1 1.9125E+18
4.0500E-1 2.2983E+18
4.1000E-1 2.7618E+18
4.1500E-1 3.3185E+18
4.2000E-1 3.9871E+18
4.2500E-1 4.7899E+18
4.3000E-1 5.7536E+18
4.3500E-1 6.9103E+18
4.4000E-1 8.2982E+18
4.4500E-1 9.9628E+18
4.5000E-1 1.1958E+19
4.5500E-1 1.4350E+19
4.6000E-1 1.7213E+19
4.6500E-1 2.0640E+19
4.7000E-1 2.4737E+19
4.7500E-1 2.9631E+19
4.8000E-1 3.5469E+19
4.8500E-1 4.2424E+19
4.9000E-1 5.0697E+19
4.9500E-1 6.0520E+19
5.0000E-1 7.2157E+19
5.0500E-1 8.5912E+19
5.1000E-1 1.0213E+20
5.1500E-1 1.2118E+20
5.2000E-1 1.4350E+20
5.2500E-1 1.6956E+20
5.3000E-1 1.9986E+20
5.3500E-1 2.3496E+20
5.4000E-1 2.7545E+20
5.4500E-1 3.2195E+20
5.5000E-1 3.7514E+20
5.5500E-1 4.3572E+20
5.6000E-1 5.0445E+20
5.6500E-1 5.8213E+20
5.7000E-1 6.6960E+20
5.7500E-1 7.6776E+20
5.8000E-1 8.7759E+20
5.8500E-1 1.0001E+21
5.9000E-1 1.1365E+21
5.9500E-1 1.2880E+21
6.0000E-1 1.4560E+21
6.0500E-1 1.6418E+21
6.1000E-1 1.8472E+21
6.1500E-1 2.0738E+21
6.2000E-1 2.3237E+21
6.2500E-1 2.5990E+21
6.3000E-1 2.9021E+21
6.3500E-1 3.2354E+21
6.4000E-1 3.6019E+21
6.4500E-1 4.0046E+21
6.5000E-1 4.4471E+21
