T TAUfei
2.9000E+2 7.3774E-7
2.9100E+2 7.3657E-7
2.9200E+2 7.3542E-7
2.9300E+2 7.3428E-7
2.9400E+2 7.3315E-7
2.9500E+2 7.3204E-7
2.9600E+2 7.3093E-7
2.9700E+2 7.2984E-7
2.9800E+2 7.2877E-7
2.9900E+2 7.2770E-7
3.0000E+2 7.2665E-7
3.0100E+2 7.2562E-7
3.0200E+2 7.2460E-7
3.0300E+2 7.2359E-7
3.0400E+2 7.2260E-7
3.0500E+2 7.2163E-7
3.0600E+2 7.2066E-7
3.0700E+2 7.1972E-7
3.0800E+2 7.1879E-7
3.0900E+2 7.1788E-7
3.1000E+2 7.1699E-7
3.1100E+2 7.1611E-7
3.1200E+2 7.1525E-7
3.1300E+2 7.1441E-7
3.1400E+2 7.1359E-7
3.1500E+2 7.1279E-7
3.1600E+2 7.1201E-7
3.1700E+2 7.1125E-7
3.1800E+2 7.1051E-7
3.1900E+2 7.0979E-7
3.2000E+2 7.0909E-7
3.2100E+2 7.0842E-7
3.2200E+2 7.0777E-7
3.2300E+2 7.0714E-7
3.2400E+2 7.0654E-7
3.2500E+2 7.0596E-7
3.2600E+2 7.0541E-7
3.2700E+2 7.0489E-7
3.2800E+2 7.0439E-7
3.2900E+2 7.0393E-7
3.3000E+2 7.0349E-7
3.3100E+2 7.0308E-7
3.3200E+2 7.0270E-7
3.3300E+2 7.0235E-7
3.3400E+2 7.0204E-7
3.3500E+2 7.0175E-7
3.3600E+2 7.0151E-7
3.3700E+2 7.0130E-7
3.3800E+2 7.0112E-7
3.3900E+2 7.0098E-7
3.4000E+2 7.0088E-7
3.4100E+2 7.0082E-7
3.4200E+2 7.0080E-7
3.4300E+2 7.0082E-7
3.4400E+2 7.0089E-7
3.4500E+2 7.0099E-7
3.4600E+2 7.0115E-7
3.4700E+2 7.0135E-7
3.4800E+2 7.0159E-7
3.4900E+2 7.0189E-7
3.5000E+2 7.0224E-7
