T TAUauger
2.9000E+2 1.4129E-1
2.9100E+2 1.4170E-1
2.9200E+2 1.4210E-1
2.9300E+2 1.4248E-1
2.9400E+2 1.4286E-1
2.9500E+2 1.4322E-1
2.9600E+2 1.4358E-1
2.9700E+2 1.4392E-1
2.9800E+2 1.4425E-1
2.9900E+2 1.4457E-1
3.0000E+2 1.4488E-1
3.0100E+2 1.4518E-1
3.0200E+2 1.4547E-1
3.0300E+2 1.4575E-1
3.0400E+2 1.4602E-1
3.0500E+2 1.4628E-1
3.0600E+2 1.4654E-1
3.0700E+2 1.4678E-1
3.0800E+2 1.4702E-1
3.0900E+2 1.4725E-1
3.1000E+2 1.4747E-1
3.1100E+2 1.4768E-1
3.1200E+2 1.4789E-1
3.1300E+2 1.4809E-1
3.1400E+2 1.4828E-1
3.1500E+2 1.4847E-1
3.1600E+2 1.4866E-1
3.1700E+2 1.4883E-1
3.1800E+2 1.4901E-1
3.1900E+2 1.4917E-1
3.2000E+2 1.4934E-1
3.2100E+2 1.4950E-1
3.2200E+2 1.4965E-1
3.2300E+2 1.4981E-1
3.2400E+2 1.4995E-1
3.2500E+2 1.5010E-1
3.2600E+2 1.5024E-1
3.2700E+2 1.5038E-1
3.2800E+2 1.5051E-1
3.2900E+2 1.5065E-1
3.3000E+2 1.5077E-1
3.3100E+2 1.5090E-1
3.3200E+2 1.5102E-1
3.3300E+2 1.5114E-1
3.3400E+2 1.5125E-1
3.3500E+2 1.5136E-1
3.3600E+2 1.5146E-1
3.3700E+2 1.5156E-1
3.3800E+2 1.5165E-1
3.3900E+2 1.5174E-1
3.4000E+2 1.5182E-1
3.4100E+2 1.5189E-1
3.4200E+2 1.5195E-1
3.4300E+2 1.5200E-1
3.4400E+2 1.5205E-1
3.4500E+2 1.5208E-1
3.4600E+2 1.5210E-1
3.4700E+2 1.5210E-1
3.4800E+2 1.5209E-1
3.4900E+2 1.5206E-1
3.5000E+2 1.5202E-1
