fname time Tem kT_1 n0 Eefo E_B E_T Nb dev 
B105FE100_T 1317817142 0 555 5.039498626E-04 1.397526455E+00 7.078765197E-01 4.354981866E-02 1.000000000E+15 2.146559141E-03 
B105FE101_T 1317817142 0 555 5.059404250E-04 1.384292344E+00 4.336174653E-01 2.531765804E-02 1.000000000E+15 2.140211681E-03 
B105FE102_T 1317817142 0 555 5.076180466E-04 1.489331929E+00 5.717432914E-01 3.424648746E-02 1.000000000E+15 2.369549206E-03 
B105FE103_T 1317817142 0 555 5.283093157E-04 1.458948741E+00 6.232907331E-01 3.786136472E-02 1.000000000E+15 2.726891538E-03 
B105FE140_T 1317817142 0 555 5.039583898E-04 1.398114985E+00 2.264772307E-01 1.145518535E-02 1.000000000E+15 2.139269014E-03 
B105FE141_T 1317817142 0 555 5.074916471E-04 1.369886842E+00 4.110767499E-01 2.386532757E-02 1.000000000E+15 2.190469167E-03 
B105FE142_T 1317817142 0 555 5.181343630E-04 1.385347897E+00 2.360722147E-01 1.221391183E-02 1.000000000E+15 1.705095737E-03 
B105FE210_T 1317817142 0 555 5.039471228E-04 1.399671078E+00 7.541199540E-01 4.662706940E-02 1.000000000E+15 2.134819223E-03 
B105FE211_T 1317817142 0 555 5.062576308E-04 1.378930103E+00 2.181306626E-01 1.098125819E-02 1.000000000E+15 2.349627721E-03 
B105FE212_T 1317817142 0 555 5.178324872E-04 1.399942622E+00 4.560096397E-01 2.685054737E-02 1.000000000E+15 1.996358780E-03 
B105FE310_T 1317817142 0 555 5.040828496E-04 1.400042089E+00 2.754278101E-01 1.471410824E-02 1.000000000E+15 2.124320680E-03 
B105FE311_T 1317817142 0 555 5.060364167E-04 1.364661126E+00 2.560816684E-01 1.356540382E-02 1.000000000E+15 2.464709457E-03 
B105FE312_T 1317817142 0 555 5.236154551E-04 1.434653497E+00 9.927885617E-01 6.254243949E-02 1.000000000E+15 2.402829304E-03 
B105FE460_T 1317817142 0 555 5.043064437E-04 1.400412013E+00 1.813315490E-01 8.441334441E-03 1.000000000E+15 2.113259916E-03 
B105FE461_T 1317817142 0 555 5.020291601E-04 1.414249078E+00 2.619333139E-01 1.380767001E-02 1.000000000E+15 2.676857049E-03 
B105FE462_T 1317817142 0 555 5.244674333E-04 1.462963656E+00 3.326164814E-01 1.845474703E-02 1.000000000E+15 2.684178952E-03 
B105FE680_T 1317817142 0 555 5.045847256E-04 1.397908094E+00 3.572269692E-01 2.017825657E-02 1.000000000E+15 2.121003572E-03 
B105FE681_T 1317817142 0 555 5.007361925E-04 1.494998628E+00 1.225054766E-01 4.266290087E-03 1.000000000E+15 2.796611451E-03 
B105FE682_T 1317817142 0 555 5.268968117E-04 1.465122921E+00 6.306686014E-01 3.832666929E-02 1.000000000E+15 2.769307669E-03 
