V d31 V1 d41 V2 d63a d63b d83a d83b d62a d62b
-4.000000e-01 9.139771e-01 -1.200000e+00 9.899211e-01 -1.200000e+00 9.941849e-01 9.811813e-01 9.796773e-01 9.690791e-01 9.783022e-01 9.910161e-01
-2.000000e-01 1.000000e+00 -1.100000e+00 9.899200e-01 -1.000000e+00 9.873846e-01 9.726390e-01 9.765496e-01 9.681715e-01 9.761677e-01 9.810025e-01
0.000000e+00 1.000000e+00 -9.000000e-01 9.918373e-01 -8.000000e-01 9.873192e-01 9.740118e-01 9.756176e-01 9.696520e-01 9.753108e-01 9.776667e-01
1.000000e-01 9.508770e-01 -8.000000e-01 9.872218e-01 -6.000000e-01 9.850541e-01 9.707180e-01 9.758427e-01 9.670241e-01 9.778046e-01 9.655135e-01
2.000000e-01 7.700371e-01 -7.000000e-01 9.852901e-01 -4.000000e-01 9.823349e-01 9.710646e-01 9.752438e-01 9.649610e-01 9.766628e-01 9.733735e-01
NaN NaN -6.000000e-01 9.944238e-01 -2.000000e-01 9.806728e-01 9.718222e-01 9.704847e-01 9.676035e-01 9.757669e-01 9.641761e-01
NaN NaN -5.000000e-01 9.853191e-01 0.000000e+00 9.800087e-01 9.712433e-01 9.676048e-01 9.664033e-01 9.727526e-01 9.680081e-01
NaN NaN -4.000000e-01 9.883669e-01 2.000000e-01 9.815387e-01 9.670832e-01 9.503109e-01 9.640913e-01 9.415867e-01 9.489095e-01
NaN NaN -3.000000e-01 9.852760e-01 4.000000e-01 9.916890e-01 9.192125e-01 9.999972e-01 7.290428e-01 8.855007e-01 8.962090e-01
NaN NaN -2.000000e-01 9.861909e-01 NaN NaN NaN NaN NaN NaN NaN
NaN NaN -1.000000e-01 9.830799e-01 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 0.000000e+00 9.810172e-01 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 1.000000e-01 9.766589e-01 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 2.000000e-01 9.610657e-01 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 3.000000e-01 9.381827e-01 NaN NaN NaN NaN NaN NaN NaN
