V d44s d44b V1 d52a d54b V2 d54c
-1.200000e+00 9.844951e-01 9.742169e-01 -1.200000e+00 9.802421e-01 9.246910e-01 -1.200000e+00 9.900039e-01
-1.100000e+00 9.913210e-01 9.659845e-01 -1.000000e+00 9.820696e-01 9.538917e-01 -1.000000e+00 9.899079e-01
-1.000000e+00 9.876386e-01 9.703395e-01 -8.000000e-01 9.789512e-01 9.618503e-01 -8.000000e-01 9.915010e-01
-9.000000e-01 9.857962e-01 9.746129e-01 -6.000000e-01 9.880625e-01 9.279309e-01 -6.000000e-01 9.916483e-01
-8.000000e-01 9.899205e-01 9.834652e-01 -4.000000e-01 9.892129e-01 9.557755e-01 -4.000000e-01 9.892363e-01
-7.000000e-01 9.905900e-01 9.875355e-01 -2.000000e-01 9.848589e-01 1.000000e+00 -2.000000e-01 9.886524e-01
-6.000000e-01 9.878793e-01 9.950507e-01 0.000000e+00 9.630530e-01 9.272971e-01 -2.000000e-01 9.886524e-01
-5.000000e-01 9.932176e-01 9.913309e-01 2.000000e-01 9.718392e-01 8.917643e-01 0.000000e+00 9.787582e-01
-4.000000e-01 9.902996e-01 9.984607e-01 4.000000e-01 1.000000e+00 9.108439e-01 2.000000e-01 9.686346e-01
-3.000000e-01 9.920602e-01 1.000000e+00 NaN NaN NaN 4.000000e-01 8.726717e-01
-2.000000e-01 9.964367e-01 1.000000e+00 NaN NaN NaN NaN NaN
-1.000000e-01 9.907016e-01 1.000000e+00 NaN NaN NaN NaN NaN
0.000000e+00 1.000000e+00 1.000000e+00 NaN NaN NaN NaN NaN
1.000000e-01 9.942974e-01 1.000000e+00 NaN NaN NaN NaN NaN
2.000000e-01 8.797251e-01 1.000000e+00 NaN NaN NaN NaN NaN
3.000000e-01 9.331081e-01 9.741492e-01 NaN NaN NaN NaN NaN
