V d42 V1 d61a d61c d64a d64b
-1.200000e+00 9.819324e-01 -1.200000e+00 9.605585e-01 9.834802e-01 9.889290e-01 9.945036e-01
-1.100000e+00 9.859977e-01 -1.000000e+00 9.712552e-01 9.763139e-01 9.903049e-01 9.870124e-01
-1.000000e+00 9.870959e-01 -8.000000e-01 9.701802e-01 9.788230e-01 9.857811e-01 9.868595e-01
-9.000000e-01 9.862695e-01 -6.000000e-01 9.686909e-01 9.773194e-01 9.817924e-01 9.890686e-01
-8.000000e-01 9.840397e-01 -4.000000e-01 9.634245e-01 9.795879e-01 9.816206e-01 9.879227e-01
-7.000000e-01 9.803618e-01 -2.000000e-01 9.668762e-01 9.778408e-01 9.793276e-01 9.850929e-01
-6.000000e-01 9.805779e-01 0.000000e+00 9.642374e-01 9.780840e-01 9.969275e-01 9.842674e-01
-5.000000e-01 9.848942e-01 2.000000e-01 9.580828e-01 9.624731e-01 9.820099e-01 1.000000e+00
-4.000000e-01 9.840946e-01 4.000000e-01 7.809242e-01 8.920947e-01 1.000000e+00 1.000000e+00
-3.000000e-01 9.844439e-01 NaN NaN NaN NaN NaN
-2.000000e-01 9.813073e-01 NaN NaN NaN NaN NaN
-1.000000e-01 9.806206e-01 NaN NaN NaN NaN NaN
0.000000e+00 9.830552e-01 NaN NaN NaN NaN NaN
1.000000e-01 9.883558e-01 NaN NaN NaN NaN NaN
2.000000e-01 1.000000e+00 NaN NaN NaN NaN NaN
3.000000e-01 9.989437e-01 NaN NaN NaN NaN NaN
