V d43s d43b V1 d51a d51b d51c d51d d73a d73b d73c d82a d82b d53a d53b d53c
-1.200000e+00 9.888125e-01 9.836045e-01 -1.200000e+00 9.864512e-01 1.000000e+00 9.698992e-01 9.561536e-01 9.927973e-01 1.000000e+00 9.871205e-01 9.753765e-01 1.000000e+00 9.714625e-01 9.616941e-01 9.744651e-01
-1.100000e+00 1.000000e+00 9.807939e-01 -1.000000e+00 9.711621e-01 1.000000e+00 9.499169e-01 9.357329e-01 9.879739e-01 9.871151e-01 9.868600e-01 9.667502e-01 1.000000e+00 9.685936e-01 9.659046e-01 9.705787e-01
-1.000000e+00 9.834470e-01 9.794978e-01 -8.000000e-01 9.727083e-01 1.000000e+00 1.000000e+00 1.000000e+00 9.826228e-01 9.788007e-01 1.000000e+00 9.661594e-01 1.000000e+00 9.742871e-01 9.579810e-01 9.743812e-01
-9.000000e-01 9.843283e-01 9.791432e-01 -6.000000e-01 9.999391e-01 1.000000e+00 1.000000e+00 9.168637e-01 9.807345e-01 9.791932e-01 1.000000e+00 9.654714e-01 1.000000e+00 9.684360e-01 9.584077e-01 9.768738e-01
-8.000000e-01 9.994429e-01 9.807610e-01 -4.000000e-01 1.000000e+00 9.203738e-01 1.000000e+00 9.999918e-01 9.795043e-01 9.785923e-01 1.000000e+00 9.598793e-01 1.000000e+00 9.685246e-01 9.583734e-01 9.752535e-01
-7.000000e-01 1.000000e+00 9.755231e-01 -2.000000e-01 1.000000e+00 8.245111e-01 1.000000e+00 1.000000e+00 9.776201e-01 9.771637e-01 9.864951e-01 9.569609e-01 1.000000e+00 9.736810e-01 9.657044e-01 9.794778e-01
-6.000000e-01 1.000000e+00 9.751244e-01 0.000000e+00 8.497874e-01 1.000000e+00 8.391977e-01 1.000000e+00 9.742604e-01 9.770764e-01 1.000000e+00 9.518520e-01 1.000000e+00 9.705775e-01 9.675391e-01 1.000000e+00
-5.000000e-01 1.000000e+00 9.730563e-01 2.000000e-01 9.405800e-01 9.791844e-01 8.222458e-01 9.466869e-01 9.785647e-01 9.745966e-01 9.967610e-01 9.436735e-01 1.000000e+00 9.671411e-01 9.953945e-01 1.000000e+00
-4.000000e-01 1.000000e+00 9.735765e-01 4.000000e-01 9.526940e-01 9.349312e-01 9.717138e-01 6.928953e-01 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.737890e-01 9.428507e-01 8.399225e-01 8.169858e-01
-3.000000e-01 1.000000e+00 9.739167e-01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
-2.000000e-01 1.000000e+00 9.701781e-01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
-1.000000e-01 1.000000e+00 9.682034e-01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.000000e+00 1.000000e+00 9.637112e-01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.000000e-01 1.000000e+00 9.644883e-01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2.000000e-01 1.000000e+00 9.589954e-01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
3.000000e-01 1.000000e+00 9.461647e-01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
