fname time Tem kT_1 A Rs Io Rsh dev 
01FR 01fr.dat 297.7 38.95 2.158E+001 1.935E+003 6.190E-010 1.000E+015 4.750E-003 
02FR 02fr.dat 297.8 38.93 2.157E+001 2.044E+003 6.178E-010 1.000E+015 3.733E-003 
03FR 03fr.dat 300 38.65 2.184E+001 2.003E+003 6.751E-010 1.000E+015 5.071E-003 
04FR 04fr.dat 300 38.65 2.170E+001 1.945E+003 7.069E-010 1.000E+015 4.685E-003 
05FR 05fr.dat 300 38.65 2.161E+001 1.914E+003 7.338E-010 1.000E+015 4.719E-003 
06FR 06fr.dat 302.6 38.32 2.165E+001 1.799E+003 9.068E-010 1.000E+015 5.411E-003 
07FR 07fr.dat 302.5 38.33 2.185E+001 1.765E+003 8.174E-010 1.000E+015 4.089E-003 
08FR 08fr.dat 302.5 38.33 2.183E+001 1.873E+003 8.334E-010 1.000E+015 3.844E-003 
09FR 09fr.dat 305.1 38 2.138E+001 1.551E+003 1.125E-009 1.000E+015 4.898E-003 
10FR 10fr.dat 305 38.01 2.190E+001 1.591E+003 9.285E-010 1.000E+015 4.428E-003 
11FR 11fr.dat 305 38.01 2.164E+001 1.714E+003 1.004E-009 1.000E+015 4.539E-003 
12FR 12fr.dat 307.6 37.69 2.136E+001 1.474E+003 1.369E-009 1.000E+015 5.500E-003 
13FR 13fr.dat 307.5 37.7 2.149E+001 1.473E+003 1.283E-009 1.000E+015 6.469E-003 
14FR 14fr.dat 307.6 37.69 2.192E+001 1.593E+003 1.197E-009 1.000E+015 7.759E-003 
15FR 15fr.dat 307.5 37.7 2.145E+001 1.527E+003 1.410E-009 1.000E+015 4.548E-003 
16FR 16fr.dat 310.1 37.39 2.142E+001 1.340E+003 1.653E-009 1.000E+015 6.662E-003 
17FR 17fr.dat 310 37.4 2.140E+001 1.328E+003 1.697E-009 1.000E+015 3.225E-003 
18FR 18fr.dat 310 37.4 2.139E+001 1.302E+003 1.722E-009 1.000E+015 4.018E-003 
19FR 19fr.dat 312.5 37.1 2.120E+001 1.270E+003 2.145E-009 1.000E+015 4.421E-003 
20FR 20fr.dat 312.5 37.1 2.168E+001 1.285E+003 1.848E-009 1.000E+015 4.443E-003 
21FR 21fr.dat 312.5 37.1 2.215E+001 1.501E+003 1.661E-009 1.000E+015 5.422E-003 
22FR 22fr.dat 315.1 36.8 2.179E+001 1.244E+003 2.167E-009 1.000E+015 5.952E-003 
23FR 23fr.dat 315 36.81 2.201E+001 1.313E+003 2.144E-009 1.000E+015 4.514E-003 
24FR 24fr.dat 315.1 36.8 2.185E+001 1.260E+003 2.291E-009 1.000E+015 5.030E-003 
25FR 25fr.dat 317.5 36.52 2.190E+001 1.259E+003 2.483E-009 1.000E+015 4.708E-003 
26FR 26fr.dat 317.5 36.52 2.206E+001 1.427E+003 2.428E-009 1.000E+015 9.574E-003 
27FR 27fr.dat 317.5 36.52 2.172E+001 1.164E+003 2.678E-009 1.000E+015 4.681E-003 
28FR 28fr.dat 320.1 36.22 2.181E+001 1.148E+003 3.086E-009 1.000E+015 5.346E-003 
29FR 29fr.dat 320.1 36.22 2.186E+001 1.107E+003 3.105E-009 1.000E+015 4.410E-003 
30FR 30fr.dat 320 36.23 2.226E+001 1.173E+003 2.896E-009 1.000E+015 3.495E-003 
31FR 31fr.dat 322.6 35.94 2.215E+001 1.153E+003 3.408E-009 1.000E+015 4.640E-003 
32FR 32fr.dat 322.5 35.95 2.213E+001 1.153E+003 3.592E-009 1.000E+015 4.827E-003 
33FR 33fr.dat 322.5 35.95 2.197E+001 1.020E+003 3.924E-009 1.000E+015 3.636E-003 
34FR 34fr.dat 325.1 35.66 2.235E+001 1.079E+003 3.896E-009 1.000E+015 4.235E-003 
35FR 35fr.dat 325 35.67 2.246E+001 1.034E+003 3.688E-009 1.000E+015 1.131E-002 
36FR 36fr.dat 325 35.67 2.194E+001 1.020E+003 4.442E-009 1.000E+015 2.878E-003 
37FR 37fr.dat 327.5 35.4 2.210E+001 9.381E+002 4.940E-009 1.000E+015 3.990E-003 
38FR 38fr.dat 327.5 35.4 2.232E+001 1.008E+003 4.941E-009 1.000E+015 3.009E-003 
39FR 39fr.dat 327.5 35.4 2.201E+001 9.412E+002 5.185E-009 1.000E+015 2.684E-003 
40FR 40fr.dat 330.1 35.12 2.232E+001 9.281E+002 5.354E-009 1.000E+015 3.960E-003 
