V d44s d44b V1 d52a d54b V2 d54c
-1.200000e+00 2.200356e-09 3.809147e-09 -1.200000e+00 2.011201e-09 7.954690e-09 -1.200000e+00 1.848450e-09
-1.100000e+00 2.094496e-09 4.366810e-09 -1.000000e+00 2.091532e-09 4.769570e-09 -1.000000e+00 2.067058e-09
-1.000000e+00 2.301597e-09 4.305286e-09 -8.000000e-01 2.376006e-09 5.223232e-09 -8.000000e-01 2.293813e-09
-9.000000e-01 2.480812e-09 4.237215e-09 -6.000000e-01 2.389242e-09 1.500723e-08 -6.000000e-01 2.653628e-09
-8.000000e-01 2.498702e-09 3.676679e-09 -4.000000e-01 2.786503e-09 2.963352e-08 -4.000000e-01 3.271289e-09
-7.000000e-01 2.637387e-09 3.713587e-09 -2.000000e-01 3.809390e-09 8.796332e-08 -2.000000e-01 4.141825e-09
-6.000000e-01 2.919433e-09 3.453642e-09 0.000000e+00 8.412526e-09 8.028735e-08 -2.000000e-01 4.141825e-09
-5.000000e-01 2.953673e-09 3.902841e-09 2.000000e-01 5.727986e-08 2.559546e-07 0.000000e+00 6.552028e-09
-4.000000e-01 3.328172e-09 3.678810e-09 4.000000e-01 1.978356e-06 1.330442e-07 2.000000e-01 2.521839e-08
-3.000000e-01 3.585317e-09 3.802243e-09 NaN NaN NaN 4.000000e-01 1.158077e-07
-2.000000e-01 3.798940e-09 4.074719e-09 NaN NaN NaN NaN NaN
-1.000000e-01 4.395215e-09 4.515355e-09 NaN NaN NaN NaN NaN
0.000000e+00 4.525682e-09 4.982785e-09 NaN NaN NaN NaN NaN
1.000000e-01 1.928557e-08 5.752065e-09 NaN NaN NaN NaN NaN
2.000000e-01 7.633588e-07 7.831745e-09 NaN NaN NaN NaN NaN
3.000000e-01 1.028808e-07 2.181067e-08 NaN NaN NaN NaN NaN
