V d31 V1 d41 V2 d63a d63b d83a d83b d62a d62b
-4.000000e-01 1.048599e-09 -1.200000e+00 1.444032e-09 -1.200000e+00 9.832298e-10 9.172681e-10 1.256534e-09 9.403283e-10 1.151243e-09 1.089264e-09
-2.000000e-01 3.995874e-07 -1.100000e+00 1.468921e-09 -1.000000e+00 1.268164e-09 1.170489e-09 1.462190e-09 1.033842e-09 1.317393e-09 1.365233e-09
0.000000e+00 2.037069e-07 -9.000000e-01 1.491266e-09 -8.000000e-01 1.402434e-09 1.269166e-09 1.680963e-09 1.132624e-09 1.499179e-09 1.587897e-09
1.000000e-01 5.271059e-07 -8.000000e-01 1.632425e-09 -6.000000e-01 1.641743e-09 1.538565e-09 1.820587e-09 1.323596e-09 1.658016e-09 2.090542e-09
2.000000e-01 3.305570e-06 -7.000000e-01 1.739269e-09 -4.000000e-01 2.068921e-09 1.727536e-09 2.125805e-09 1.585416e-09 1.991792e-09 2.072218e-09
NaN NaN -6.000000e-01 1.626006e-09 -2.000000e-01 2.523476e-09 2.011483e-09 2.900352e-09 1.857250e-09 2.453346e-09 2.743808e-09
NaN NaN -5.000000e-01 1.940924e-09 0.000000e+00 3.294931e-09 2.613346e-09 4.053952e-09 2.435143e-09 3.394098e-09 3.293514e-09
NaN NaN -4.000000e-01 1.975966e-09 2.000000e-01 6.592328e-09 4.434074e-09 2.523607e-08 3.946172e-09 2.436609e-08 6.641278e-09
NaN NaN -3.000000e-01 2.229245e-09 4.000000e-01 9.583930e-09 1.762666e-08 6.547817e-08 3.589406e-07 1.427549e-07 4.845338e-08
NaN NaN -2.000000e-01 2.400372e-09 NaN NaN NaN NaN NaN NaN NaN
NaN NaN -1.000000e-01 2.782903e-09 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 0.000000e+00 3.278289e-09 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 1.000000e-01 4.238535e-09 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 2.000000e-01 7.018986e-09 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 3.000000e-01 1.501470e-08 NaN NaN NaN NaN NaN NaN NaN
