V d42 V1 d61a d61c d64a d64b
-1.200000e+00 2.855836e-09 -1.200000e+00 1.089376e-09 1.218469e-09 1.077423e-09 1.222231e-09
-1.100000e+00 2.851529e-09 -1.000000e+00 9.912748e-10 1.423181e-09 1.104739e-09 1.473389e-09
-1.000000e+00 2.967062e-09 -8.000000e-01 1.129786e-09 1.497478e-09 1.311099e-09 1.614510e-09
-9.000000e-01 3.162041e-09 -6.000000e-01 1.312890e-09 1.694797e-09 1.547363e-09 1.737441e-09
-8.000000e-01 3.453795e-09 -4.000000e-01 1.671818e-09 1.843901e-09 1.808472e-09 1.989604e-09
-7.000000e-01 3.836750e-09 -2.000000e-01 1.862335e-09 2.261444e-09 2.432040e-09 2.499597e-09
-6.000000e-01 4.088559e-09 0.000000e+00 2.488483e-09 2.878753e-09 2.170112e-09 3.226777e-09
-5.000000e-01 4.160702e-09 2.000000e-01 4.368537e-09 5.549252e-09 4.262486e-09 3.380852e-09
-4.000000e-01 4.531398e-09 4.000000e-01 1.731899e-07 4.137687e-08 7.255465e-09 5.261976e-09
-3.000000e-01 4.913458e-09 NaN NaN NaN NaN NaN
-2.000000e-01 5.603724e-09 NaN NaN NaN NaN NaN
-1.000000e-01 6.293394e-09 NaN NaN NaN NaN NaN
0.000000e+00 6.795690e-09 NaN NaN NaN NaN NaN
1.000000e-01 7.061236e-09 NaN NaN NaN NaN NaN
2.000000e-01 6.959892e-09 NaN NaN NaN NaN NaN
3.000000e-01 1.115785e-08 NaN NaN NaN NaN NaN
