N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 2.632100000E-05 2.309200000E-05 2.097200000E-05 1.948400000E-05
1.600000000E+01 1.186300000E-04 1.112180000E-04 1.068550000E-04 1.029460000E-04
1.700000000E+01 4.264650000E-04 4.249010000E-04 4.572570000E-04 4.260120000E-04
1.549996187E+01 6.122600000E-05 5.421000000E-05 5.096800000E-05 4.676300000E-05
1.649996187E+01 2.188890000E-04 2.147500000E-04 2.124670000E-04 2.129100000E-04
1.674996808E+01 3.071230000E-04 3.038130000E-04 3.035620000E-04 3.041060000E-04
1.624993176E+01 1.596520000E-04 1.518420000E-04 1.482020000E-04 1.464590000E-04
1.574996808E+01 8.766300000E-05 7.915400000E-05 7.445300000E-05 7.125500000E-05
1.524993176E+01 4.126400000E-05 3.613300000E-05 3.340100000E-05 3.122700000E-05
