T file kT1 TDD TDD1 TDD11 TDD111 d N_B
340 001_340 34.101 1.000000E+13 1.000000E+13 1.000000E+13 1.000000E+13 3.500E-4 1.360E+15
340 002_340 34.101 1.292000E+13 1.292000E+13 1.292000E+13 1.292000E+13 3.500E-4 1.360E+15
340 003_340 34.101 1.668000E+13 1.668000E+13 1.668000E+13 1.668000E+13 3.500E-4 1.360E+15
340 004_340 34.101 2.154000E+13 2.154000E+13 2.154000E+13 2.154000E+13 3.500E-4 1.360E+15
340 005_340 34.101 2.783000E+13 2.783000E+13 2.783000E+13 2.783000E+13 3.500E-4 1.360E+15
340 006_340 34.101 3.594000E+13 3.594000E+13 3.594000E+13 3.594000E+13 3.500E-4 1.360E+15
340 007_340 34.101 4.642000E+13 4.642000E+13 4.642000E+13 4.642000E+13 3.500E-4 1.360E+15
340 008_340 34.101 5.995000E+13 5.995000E+13 5.995000E+13 5.995000E+13 3.500E-4 1.360E+15
340 009_340 34.101 7.743000E+13 7.743000E+13 7.743000E+13 7.743000E+13 3.500E-4 1.360E+15
340 010_340 34.101 1.000000E+14 1.000000E+14 1.000000E+14 1.000000E+14 3.500E-4 1.360E+15
