N_Fe Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
1.000000000E+01 1.187216898E+00 1.206179953E+00 1.217048961E+00 1.225148327E+00 1.233472528E+00 1.239873429E+00 1.245236249E+00 1.250104620E+00 1.254976024E+00
1.016672606E+01 1.187676403E+00 1.206846404E+00 1.218137861E+00 1.226903678E+00 1.236145199E+00 1.243613580E+00 1.250026190E+00 1.255860857E+00 1.261742161E+00
1.033324570E+01 1.188109667E+00 1.207372407E+00 1.218969934E+00 1.228273067E+00 1.238329872E+00 1.246858995E+00 1.254411318E+00 1.261262962E+00 1.268012680E+00
1.049996187E+01 1.188573799E+00 1.207821936E+00 1.219627372E+00 1.229347648E+00 1.240093853E+00 1.249621119E+00 1.258385760E+00 1.266415022E+00 1.274108931E+00
1.066670514E+01 1.189127570E+00 1.208252301E+00 1.220184578E+00 1.230220765E+00 1.241528605E+00 1.251944176E+00 1.261924907E+00 1.271302917E+00 1.280168904E+00
1.083333839E+01 1.189834833E+00 1.208717970E+00 1.220709922E+00 1.230983826E+00 1.242742060E+00 1.253916793E+00 1.265043576E+00 1.275872075E+00 1.286185912E+00
1.100000000E+01 1.190765285E+00 1.209273927E+00 1.221269183E+00 1.231725873E+00 1.243850445E+00 1.255664520E+00 1.267822425E+00 1.280103917E+00 1.292084073E+00
1.116672606E+01 1.191990364E+00 1.209977591E+00 1.221929333E+00 1.232536006E+00 1.244974138E+00 1.257336655E+00 1.270404473E+00 1.284061411E+00 1.297805725E+00
1.133324570E+01 1.193572133E+00 1.210888291E+00 1.222761492E+00 1.233506700E+00 1.246237052E+00 1.259095133E+00 1.272975354E+00 1.287892794E+00 1.303373513E+00
1.149996187E+01 1.195545236E+00 1.212063779E+00 1.223841812E+00 1.234735766E+00 1.247766500E+00 1.261105865E+00 1.275738776E+00 1.291802498E+00 1.308901502E+00
1.166670514E+01 1.197898887E+00 1.213554939E+00 1.225249392E+00 1.236324654E+00 1.249689662E+00 1.263528573E+00 1.278890606E+00 1.296005052E+00 1.314556710E+00
1.183333839E+01 1.200573602E+00 1.215401664E+00 1.227060831E+00 1.238371333E+00 1.252123569E+00 1.266500927E+00 1.282590513E+00 1.300675259E+00 1.320494594E+00
1.200000000E+01 1.203485665E+00 1.217632632E+00 1.229341581E+00 1.240957190E+00 1.255157971E+00 1.270116570E+00 1.286932874E+00 1.305906460E+00 1.326800202E+00
1.216672606E+01 1.206570322E+00 1.220267053E+00 1.232134839E+00 1.244130324E+00 1.258835271E+00 1.274403613E+00 1.291926195E+00 1.311690856E+00 1.333462073E+00
1.233324570E+01 1.209809936E+00 1.223312561E+00 1.235450586E+00 1.247891554E+00 1.263137008E+00 1.279315972E+00 1.297494470E+00 1.317932790E+00 1.340388945E+00
1.249996187E+01 1.213222918E+00 1.226758320E+00 1.239260575E+00 1.252192226E+00 1.267987792E+00 1.284747914E+00 1.303505897E+00 1.324490443E+00 1.347454582E+00
1.266670514E+01 1.216830168E+00 1.230571642E+00 1.243505486E+00 1.256948963E+00 1.273279119E+00 1.290568298E+00 1.309816205E+00 1.331222957E+00 1.354540760E+00
1.283333839E+01 1.220632866E+00 1.234705107E+00 1.248113104E+00 1.262069166E+00 1.278900926E+00 1.296655588E+00 1.316302493E+00 1.338018093E+00 1.361556854E+00
1.300000000E+01 1.224611591E+00 1.239108711E+00 1.253016038E+00 1.267471609E+00 1.284762165E+00 1.302914705E+00 1.322872961E+00 1.344794270E+00 1.368437484E+00
