fname time Tem kT_1 Nfe tau_r Wph Em t_ass rmsre 
W60S05 1389273353 0 555 1.001103205E+18 7.421606635E-03 2.445642396E-04 6.471461244E-01 5.468339530E+02 1.266840551E-03 
W60S10 1389273353 0 555 3.194973646E+18 5.090774374E-05 2.709648340E-04 6.481615722E-01 5.661010359E+02 1.248130789E-03 
W60S20 1389273353 0 555 1.030287147E+19 9.999993698E+01 3.120177424E-04 6.502765200E-01 6.084371101E+02 1.242615518E-03 
W60S25 1389273353 0 555 1.255541898E+19 9.999986676E+01 3.221160677E-04 6.511679022E-01 6.272155239E+02 1.307427183E-03 
W60S30 1389273353 0 555 1.488031912E+19 9.999993588E+01 3.323562171E-04 6.513859371E-01 6.318963265E+02 1.278284930E-03 
W70S01U 1389273353 0 555 1.637030344E+18 1.174241225E-05 2.657261668E-04 6.416424071E-01 4.532596553E+02 1.249436225E-03 
W70S03 1389273353 0 555 8.387364622E+18 2.649021667E-04 2.983448291E-04 6.477160857E-01 5.575661866E+02 1.682895192E-03 
W70S03U 1389273353 0 555 1.163783606E+19 5.976013839E-06 3.275945060E-04 6.425956022E-01 4.682347040E+02 1.730530888E-03 
W70S05 1389015067 0 555 1.860268461E+19 9.999986056E+01 3.459055337E-04 6.522021340E-01 6.497308121E+02 1.385225602E-03 
W70S05U 1389273353 0 555 1.535566143E+19 9.999994790E+01 3.313476567E-04 6.454350391E-01 5.158397550E+02 1.316030510E-03 
W70S10 1389014884 0 555 3.024223875E+19 9.999988737E+01 3.820912541E-04 6.542849776E-01 6.975570838E+02 1.673387346E-03 
W70S10U 1389273353 0 555 3.001552761E+19 9.999998082E+01 3.785818731E-04 6.479738166E-01 5.624881091E+02 1.872422484E-03 
W70S15 1389014841 0 555 3.995230343E+19 9.999998357E+01 4.099199722E-04 6.560831502E-01 7.416690414E+02 1.793219813E-03 
W70S15U 1389273353 0 555 3.725920691E+19 9.999995403E+01 3.978167768E-04 6.493420147E-01 5.893536131E+02 2.263993855E-03 
W70S20 1389014803 0 555 4.561056303E+19 9.999970375E+01 4.216655717E-04 6.567559600E-01 7.588820214E+02 2.113525142E-03 
W70S20U 1389273353 0 555 4.168261956E+19 9.999998005E+01 4.085469304E-04 6.498638663E-01 5.999353003E+02 2.455152774E-03 
W70S25 1389273353 0 555 4.622357548E+19 9.999977508E+01 4.205566548E-04 6.561357749E-01 7.430011869E+02 2.235187792E-03 
W70S25U 1389273353 0 555 4.496270988E+19 9.999991263E+01 4.163894077E-04 6.504932047E-01 6.129495496E+02 2.662284302E-03 
W70S30 1389273353 0 555 5.118205964E+19 9.999962983E+01 4.328412054E-04 6.567565590E-01 7.588975217E+02 2.423653545E-03 
W70S30U 1389273353 0 555 4.652510415E+19 9.999997868E+01 4.196142666E-04 6.509028788E-01 6.215726287E+02 2.439717050E-03 
