N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 1.163097116E+00 1.153164931E+00 1.143479299E+00 1.134180160E+00
1.016672606E+01 1.164350941E+00 1.154347146E+00 1.144630155E+00 1.135331760E+00
1.033324570E+01 1.165064573E+00 1.155280254E+00 1.145600096E+00 1.136376603E+00
1.049996187E+01 1.165927603E+00 1.156092528E+00 1.146523603E+00 1.137458832E+00
1.066670514E+01 1.166648265E+00 1.156896795E+00 1.147527346E+00 1.138722882E+00
1.083333839E+01 1.167355239E+00 1.157802477E+00 1.148742663E+00 1.140325519E+00
1.100000000E+01 1.168144571E+00 1.158926054E+00 1.150315050E+00 1.142442656E+00
1.116672606E+01 1.169129608E+00 1.160398397E+00 1.152407958E+00 1.145265749E+00
1.133324570E+01 1.170410744E+00 1.162366351E+00 1.155194860E+00 1.148979211E+00
1.149996187E+01 1.172140571E+00 1.164982554E+00 1.158831549E+00 1.153709528E+00
1.166670514E+01 1.174418186E+00 1.168376386E+00 1.163401637E+00 1.159446236E+00
1.183333839E+01 1.177395760E+00 1.172601267E+00 1.168841377E+00 1.165961832E+00
1.200000000E+01 1.181095436E+00 1.177568138E+00 1.174879683E+00 1.172797260E+00
1.216672606E+01 1.185435846E+00 1.183003490E+00 1.181059205E+00 1.179379233E+00
1.233324570E+01 1.190180044E+00 1.188490418E+00 1.186882065E+00 1.185245999E+00
1.249996187E+01 1.194976730E+00 1.193615402E+00 1.192006018E+00 1.190212180E+00
1.266670514E+01 1.199488760E+00 1.198132833E+00 1.196360066E+00 1.194361454E+00
1.283333839E+01 1.203527719E+00 1.202027043E+00 1.200068453E+00 1.197894683E+00
1.300000000E+01 1.207095505E+00 1.205431622E+00 1.203314918E+00 1.200999914E+00
