T Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
290 1.198253780E+00 1.202066121E+00 1.205265485E+00 1.211898815E+00 1.216417374E+00 1.216606201E+00 1.216507108E+00 1.222349955E+00 1.235945154E+00
295 1.198059840E+00 1.202615849E+00 1.206666995E+00 1.212999668E+00 1.218673358E+00 1.219453029E+00 1.219816602E+00 1.225625903E+00 1.238821449E+00
300 1.197527338E+00 1.203859808E+00 1.208091647E+00 1.215115740E+00 1.221207295E+00 1.222633563E+00 1.222783536E+00 1.228455998E+00 1.241591641E+00
305 1.194931058E+00 1.204995913E+00 1.210212877E+00 1.217484957E+00 1.223545441E+00 1.225489682E+00 1.226338220E+00 1.231583953E+00 1.243459469E+00
310 1.186793724E+00 1.205179570E+00 1.212282469E+00 1.219968549E+00 1.226553644E+00 1.228770968E+00 1.229690088E+00 1.234293283E+00 1.245394522E+00
315 1.164438448E+00 1.202171623E+00 1.213595421E+00 1.221967391E+00 1.229241068E+00 1.231838414E+00 1.231917956E+00 1.235838411E+00 1.246689526E+00
320 1.112049937E+00 1.192652663E+00 1.213839515E+00 1.223989363E+00 1.231141953E+00 1.233853885E+00 1.234312643E+00 1.237513884E+00 1.246069333E+00
325 1.015811566E+00 1.167290938E+00 1.210777974E+00 1.225117831E+00 1.233058544E+00 1.235896824E+00 1.236117200E+00 1.238322240E+00 1.245292398E+00
330 1.016600691E+00 1.110917487E+00 1.200073302E+00 1.224272341E+00 1.234293597E+00 1.237354013E+00 1.236221977E+00 1.237100812E+00 1.243428802E+00
335 1.019702926E+00 1.011889001E+00 1.173847552E+00 1.220352580E+00 1.233836541E+00 1.237215831E+00 1.236474591E+00 1.236134755E+00 1.239118089E+00
340 1.025876150E+00 1.012586919E+00 1.118227755E+00 1.212425460E+00 1.232141334E+00 1.236925358E+00 1.235852369E+00 1.234223928E+00 1.235059661E+00
