fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 rmsre 
D101 49746 339.85 34.116 1.000000000E+00 1.500298597E+00 2.297931040E-08 8.668695947E+04 2.079564681E+00 5.196141569E-07 1.678591678E-02 
D101 49746 339.85 34.116 1.000000000E+00 1.500298597E+00 2.297931040E-08 8.668695947E+04 2.079564681E+00 5.196141569E-07 1.678591678E-02 
D102 49870 339.53 34.148 1.000000000E+00 1.469119737E+00 2.078440982E-08 7.976366646E+04 1.998148754E+00 4.360114655E-07 3.160935423E-02 
D102 49870 339.53 34.148 1.000000000E+00 1.469119737E+00 2.078440982E-08 7.976366646E+04 1.998148754E+00 4.360114655E-07 3.160935423E-02 
D103 49952 339.66 34.135 1.000000000E+00 1.454066842E+00 2.059864961E-08 7.415320456E+04 1.963931779E+00 4.062166298E-07 1.028299165E-02 
D103 49952 339.66 34.135 1.000000000E+00 1.454066842E+00 2.059864961E-08 7.415320456E+04 1.963931779E+00 4.062166298E-07 1.028299165E-02 
D104 50044 339.86 34.115 1.000000000E+00 1.465697695E+00 2.103758584E-08 9.075755080E+04 2.153646926E+00 5.566439313E-07 1.582548178E-02 
D104 50044 339.86 34.115 1.000000000E+00 1.465697695E+00 2.103758584E-08 9.075755080E+04 2.153646926E+00 5.566439313E-07 1.582548178E-02 
D105 50138 340.07 34.094 1.000000000E+00 1.412680802E+00 2.060367718E-08 7.600036151E+04 1.984910912E+00 4.315903631E-07 1.205172175E-02 
D105 50138 340.07 34.094 1.000000000E+00 1.412680802E+00 2.060367718E-08 7.600036151E+04 1.984910912E+00 4.315903631E-07 1.205172175E-02 
D106 50248 340.14 34.087 1.000000000E+00 1.407855340E+00 2.024044981E-08 8.049137156E+04 2.037780922E+00 4.712504105E-07 1.641170188E-02 
D106 50248 340.14 34.087 1.000000000E+00 1.407855340E+00 2.024044981E-08 8.049137156E+04 2.037780922E+00 4.712504105E-07 1.641170188E-02 
D107 50312 339.99 34.102 1.000000000E+00 1.383418917E+00 1.945825167E-08 8.268868363E+04 2.019657305E+00 4.586812809E-07 1.756847652E-02 
D107 50312 339.99 34.102 1.000000000E+00 1.383418917E+00 1.945825167E-08 8.268868363E+04 2.019657305E+00 4.586812809E-07 1.756847652E-02 
D108 50400 340.05 34.096 1.000000000E+00 1.379583012E+00 1.938471443E-08 8.226830254E+04 2.020520050E+00 4.530232029E-07 1.647809167E-02 
D108 50400 340.05 34.096 1.000000000E+00 1.379583012E+00 1.938471443E-08 8.226830254E+04 2.020520050E+00 4.530232029E-07 1.647809167E-02 
D109 50494 340.06 34.095 1.000000000E+00 1.329356100E+00 1.890233028E-08 7.771221239E+04 1.943307311E+00 4.023067325E-07 1.578508881E-02 
D109 50494 340.06 34.095 1.000000000E+00 1.329356100E+00 1.890233028E-08 7.771221239E+04 1.943307311E+00 4.023067325E-07 1.578508881E-02 
D110 50588 340.07 34.094 1.000000000E+00 1.345788962E+00 1.870331567E-08 7.827905076E+04 1.984944395E+00 4.224786911E-07 9.488330664E-03 
D110 50588 340.07 34.094 1.000000000E+00 1.345788962E+00 1.870331567E-08 7.827905076E+04 1.984944395E+00 4.224786911E-07 9.488330664E-03 
D111 50670 339.89 34.112 1.000000000E+00 1.323795280E+00 1.837201684E-08 7.953813670E+04 2.031418429E+00 4.376406478E-07 1.778337598E-02 
D111 50670 339.89 34.112 1.000000000E+00 1.323795280E+00 1.837201684E-08 7.953813670E+04 2.031418429E+00 4.376406478E-07 1.778337598E-02 
D112 50762 340.05 34.096 1.000000000E+00 1.320994464E+00 1.814981201E-08 7.310305635E+04 1.907889218E+00 3.615354850E-07 9.746495089E-03 
