N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 -9.139861200E-02 -7.606746300E-02 -6.122983100E-02 -4.713078200E-02
1.016672606E+01 -9.155900500E-02 -7.632753500E-02 -6.161803600E-02 -4.767621700E-02
1.033324570E+01 -9.179347500E-02 -7.670716400E-02 -6.218373200E-02 -4.846953700E-02
1.049996187E+01 -9.213563600E-02 -7.725991800E-02 -6.300533100E-02 -4.961852600E-02
1.066670514E+01 -9.263357800E-02 -7.806173000E-02 -6.419278300E-02 -5.127243800E-02
1.083333839E+01 -9.335534800E-02 -7.921849700E-02 -6.589685200E-02 -5.363201700E-02
1.100000000E+01 -9.439552600E-02 -8.087422600E-02 -6.831725200E-02 -5.695524500E-02
1.116672606E+01 -9.588205500E-02 -8.321716200E-02 -7.170456800E-02 -6.154998900E-02
1.133324570E+01 -9.798083400E-02 -8.647846400E-02 -7.634579600E-02 -6.773831900E-02
1.149996187E+01 -1.008928530E-01 -9.091307500E-02 -8.251787700E-02 -7.577242400E-02
1.166670514E+01 -1.048343580E-01 -9.674769800E-02 -9.039152200E-02 -8.568929500E-02
1.183333839E+01 -1.099868230E-01 -1.040822230E-01 -9.988257700E-02 -9.712898100E-02
1.200000000E+01 -1.164059410E-01 -1.127498690E-01 -1.104947790E-01 -1.092185750E-01
1.216672606E+01 -1.238987550E-01 -1.221912180E-01 -1.212729220E-01 -1.206785280E-01
1.233324570E+01 -1.319230100E-01 -1.314602400E-01 -1.309978910E-01 -1.302417760E-01
1.249996187E+01 -1.396139730E-01 -1.394597830E-01 -1.386312630E-01 -1.371621510E-01
1.266670514E+01 -1.355071200E-01 -1.303193190E-01 -1.294500130E-01 -1.302542800E-01
1.283333839E+01 -1.146811580E-01 -1.132879270E-01 -1.142372540E-01 -1.158623430E-01
1.300000000E+01 -9.983270100E-02 -1.002384950E-01 -1.013440120E-01 -1.037743850E-01
