T Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
290 3.677100000E-05 5.555600000E-05 8.125800000E-05 1.173730000E-04 1.620220000E-04 2.248170000E-04 3.244200000E-04 4.687280000E-04 6.644150000E-04
295 3.315900000E-05 5.035400000E-05 7.452200000E-05 1.071060000E-04 1.506070000E-04 2.082010000E-04 2.990210000E-04 4.304440000E-04 6.086340000E-04
300 3.061200000E-05 4.766200000E-05 6.865100000E-05 1.009900000E-04 1.429290000E-04 1.951510000E-04 2.727470000E-04 3.901200000E-04 6.400460000E-04
305 2.851100000E-05 4.523700000E-05 6.799800000E-05 9.715100000E-05 1.383160000E-04 1.846930000E-04 2.597770000E-04 3.666350000E-04 5.555880000E-04
310 2.640000000E-05 4.435600000E-05 6.663100000E-05 9.851700000E-05 1.362170000E-04 1.883170000E-04 2.580650000E-04 3.589530000E-04 4.975080000E-04
315 2.230100000E-05 4.516300000E-05 6.890100000E-05 1.016570000E-04 1.417330000E-04 1.960760000E-04 2.619890000E-04 3.586430000E-04 5.009460000E-04
320 1.135800000E-05 4.598400000E-05 7.430400000E-05 1.085760000E-04 1.520380000E-04 2.077410000E-04 2.823660000E-04 3.815910000E-04 5.150450000E-04
325 -1.229100000E-05 4.286500000E-05 8.120100000E-05 1.211330000E-04 1.705710000E-04 2.330410000E-04 3.149980000E-04 4.217910000E-04 5.634940000E-04
330 2.093700000E-05 2.827100000E-05 8.731000000E-05 1.365620000E-04 1.952370000E-04 2.676330000E-04 3.556840000E-04 4.737710000E-04 6.354120000E-04
335 2.421700000E-05 -7.791000000E-06 8.727100000E-05 1.551850000E-04 2.240310000E-04 3.079750000E-04 4.144190000E-04 5.498110000E-04 7.244170000E-04
340 3.185900000E-05 2.395800000E-05 6.830400000E-05 1.718910000E-04 2.600620000E-04 3.608050000E-04 4.865050000E-04 6.451630000E-04 8.815840000E-04
